numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.399, Time: 2.022684 s
         3497319 function calls (3381659 primitive calls) in 13.722 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.670    0.670 npyimpl.py:378(_build_array)
       21    0.001    0.000    0.668    0.032 codegen.py:732(add_ir_module)
  797/501    0.005    0.000    0.639    0.001 functools.py:982(__get__)
      246    0.002    0.000    0.631    0.003 templates.py:1054(__init__)
      252    0.004    0.000    0.622    0.002 templates.py:907(_get_target_registry)
      239    0.003    0.000    0.617    0.003 templates.py:1100(_init_once)
     7836    0.021    0.000    0.616    0.000 ir.py:354(list_vars)
     7980    0.034    0.000    0.572    0.000 __init__.py:280(_compile)
       12    0.001    0.000    0.556    0.046 codegen.py:748(finalize)
    57/36    0.000    0.000    0.532    0.015 codegen.py:567(_ensure_finalized)
        1    0.000    0.000    0.519    0.519 text.py:1(<module>)
    68/60    0.000    0.000    0.503    0.008 <frozen importlib._bootstrap_external>:1299(exec_module)
    68/60    0.015    0.000    0.502    0.008 {built-in method _imp.exec_dynamic}
      322    0.005    0.000    0.501    0.002 _compiler.py:745(compile)
      110    0.038    0.000    0.488    0.004 analysis.py:23(compute_use_defs)
      227    0.002    0.000    0.487    0.002 artist.py:1413(__init__)
      227    0.166    0.001    0.482    0.002 artist.py:1433(get_aliases)
31184/30440    0.091    0.000    0.458    0.000 {built-in method builtins.next}
        7    0.000    0.000    0.457    0.065 cpu.py:225(get_executable)
        7    0.000    0.000    0.453    0.065 codegen.py:986(get_pointer_to_function)
    34/32    0.001    0.000    0.453    0.014 lowering.py:914(lower_call)
    34/32    0.001    0.000    0.446    0.014 lowering.py:1214(_lower_call_normal)
43064/42440    0.068    0.000    0.434    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.432    0.216 _util.py:1(<module>)
       99    0.001    0.000    0.432    0.004 postproc.py:42(usedefs)
        1    0.000    0.000    0.426    0.426 _array_api.py:1(<module>)
        1    0.000    0.000    0.396    0.396 _axes.py:1(<module>)
      798    0.019    0.000    0.388    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       12    0.001    0.000    0.386    0.032 codegen.py:792(_finalize_final_module)
      242    0.001    0.000    0.386    0.002 __init__.py:226(compile)
        1    0.000    0.000    0.381    0.381 special.py:1(<module>)
        4    0.000    0.000    0.379    0.095 context.py:1(<module>)
      166    0.002    0.000    0.375    0.002 typeinfer.py:693(__call__)
        1    0.000    0.000    0.373    0.373 patches.py:1(<module>)
