#=====================================================
# File created:        Sat-28-Feb-2026-at-06-52-15PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.022684
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2386.8503  0.2709 
   00001    0.6784   -3733.3749  0.2875 
   00002    0.6196   -4560.7591  0.2864 
   00003    0.5868   -5084.7055  0.2860 
   00004    0.5692   -5490.4639  0.2945 
   00005    0.5356   -5790.9354  0.2957 
   00006    0.5272   -6091.6639  0.2982 
   00007    0.5088   -6335.5468  0.3113 
   00008    0.5000   -6496.3104  0.3174 
   00009    0.4924   -6694.4249  0.3289 
   00010    0.4892   -6840.3372  0.3334 
   00011    0.4852   -6944.8757  0.3390 
   00012    0.4940   -6964.6319  0.3400 
   00013    0.4496   -7017.0478  0.3360 
   00014    0.4592   -7093.2342  0.3425 
   00015    0.4780   -7149.5035  0.3413 
   00016    0.4660   -7264.7991  0.3417 
   00017    0.4700   -7344.0578  0.3464 
   00018    0.4556   -7469.0566  0.3557 
   00019    0.4388   -7455.6931  0.3629 
   00020    0.4480   -7466.6788  0.3626 
   00021    0.4472   -7519.9884  0.3726 
   00022    0.4436   -7625.1207  0.3757 
   00023    0.4396   -7668.2019  0.3784 
   00024    0.4312   -7725.0004  0.3846 
   00025    0.4420   -7791.7181  0.3789 
   00026    0.4368   -7839.4624  0.3805 
   00027    0.4372   -7863.1227  0.3814 
   00028    0.4500   -7885.3721  0.3783 
   00029    0.4420   -7958.1466  0.3798 
   00030    0.4192   -7997.2067  0.3805 
   00031    0.4480   -8035.5541  0.3835 
   00032    0.4372   -8002.6883  0.3824 
   00033    0.4200   -7918.8768  0.3858 
   00034    0.4276   -7925.8710  0.3890 
   00035    0.4316   -7924.9383  0.3854 
   00036    0.4412   -7970.8528  0.3832 
   00037    0.4272   -7967.1877  0.3890 
   00038    0.4200   -7978.7228  0.3949 
   00039    0.4288   -7979.3579  0.3978 
   00040    0.4420   -7917.9282  0.3908 
   00041    0.4428   -7937.8453  0.3887 
   00042    0.4004   -7981.1525  0.3860 
   00043    0.4392   -7955.4298  0.3901 
   00044    0.4248   -7971.3041  0.3936 
   00045    0.4196   -8007.9909  0.3910 
   00046    0.4352   -8024.5609  0.3887 
   00047    0.4276   -8054.7469  0.3896 
   00048    0.4380   -8060.8426  0.3917 
   00049    0.4276   -8028.3456  0.3990 
   00050    0.4280   -8048.9141  0.4055 
