LebwohlLasher.py: Size: 100, Steps: 10, T*: 0.500: Order: 0.271, Time: 3.400744 s
         2400320 function calls (2369236 primitive calls) in 12.593 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      7/4    0.000    0.000    7.498    1.874 text.py:73(_get_text_metrics_with_cache_impl)
      7/4    1.624    0.232    7.336    1.834 backend_agg.py:206(get_text_width_height_descent)
       43    0.004    0.000    5.169    0.120 __init__.py:1(<module>)
    402/6    0.007    0.000    4.407    0.734 <frozen importlib._bootstrap>:1349(_find_and_load)
    399/6    0.005    0.000    4.406    0.734 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    383/7    0.004    0.000    4.401    0.629 <frozen importlib._bootstrap>:911(_load_unlocked)
    317/7    0.003    0.000    4.400    0.629 <frozen importlib._bootstrap_external>:993(exec_module)
   919/13    0.003    0.000    4.398    0.338 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   432/21    0.001    0.000    3.837    0.183 {built-in method builtins.__import__}
   406/84    0.004    0.000    3.530    0.042 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     39/2    0.001    0.000    2.897    1.448 text.py:926(get_window_extent)
     64/2    0.034    0.001    2.875    1.438 text.py:358(_get_layout)
   330000    2.815    0.000    2.815    0.000 LebwohlLasher.py:131(one_energy)
        1    0.001    0.001    2.494    2.494 pyplot.py:1(<module>)
       10    0.671    0.067    2.381    0.238 LebwohlLasher.py:210(MC_step)
1233/1143    0.033    0.000    2.330    0.002 {built-in method builtins.__build_class__}
    136/5    0.001    0.000    1.725    0.345 text.py:65(_get_text_metrics_with_cache)
      106    0.010    0.000    1.655    0.016 artist.py:158(_update_set_signature_and_docstring)
      105    0.014    0.000    1.644    0.016 artist.py:125(__init_subclass__)
        2    0.000    0.000    1.489    0.744 quiver.py:581(draw)
      120    0.001    0.000    1.298    0.011 artist.py:1832(kwdoc)
        1    0.000    0.000    1.246    1.246 figure.py:1(<module>)
        4    0.044    0.011    1.172    0.293 collections.py:1206(set_verts)
        2    0.000    0.000    1.169    0.585 pyplot.py:1621(subplots)
       11    0.176    0.016    1.137    0.103 LebwohlLasher.py:165(all_energy)
    20096    0.122    0.000    1.134    0.000 path.py:99(__init__)
      120    0.021    0.000    1.096    0.009 artist.py:1593(pprint_setters)
        2    0.000    0.000    1.060    0.530 pyplot.py:871(figure)
        2    0.000    0.000    1.060    0.530 pyplot.py:548(new_figure_manager)
        1    0.000    0.000    1.033    1.033 image.py:1(<module>)
        1    0.000    0.000    0.929    0.929 backend_bases.py:1(<module>)
     4409    0.058    0.000    0.904    0.000 artist.py:1461(get_valid_values)
     7555    0.428    0.000    0.847    0.000 inspect.py:882(cleandoc)
        9    0.000    0.000    0.754    0.084 __init__.py:73(import_module)
        9    0.000    0.000    0.754    0.084 <frozen importlib._bootstrap>:1375(_gcd_import)
        4    0.000    0.000    0.732    0.183 pyplot.py:525(_warn_if_gui_out_of_main_thread)
       10    0.000    0.000    0.732    0.073 pyplot.py:358(_get_backend_mod)
      3/1    0.000    0.000    0.732    0.732 pyplot.py:372(switch_backend)
        2    0.000    0.000    0.728    0.364 registry.py:302(load_backend_module)
        1    0.000    0.000    0.727    0.727 backend_qtagg.py:1(<module>)
     7512    0.034    0.000    0.704    0.000 inspect.py:863(getdoc)
     7020    0.026    0.000    0.614    0.000 __init__.py:280(_compile)
      229    0.004    0.000    0.560    0.002 _compiler.py:745(compile)
        1    0.000    0.000    0.550    0.550 text.py:1(<module>)
        1    0.000    0.000    0.517    0.517 qt_compat.py:1(<module>)
    48/44    0.000    0.000    0.517    0.012 <frozen importlib._bootstrap_external>:1299(exec_module)
