LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.700: Order: 0.362, Time: 5.332730 s
         2529697 function calls (2494513 primitive calls) in 41.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2   25.330   12.665   25.818   12.909 {built-in method getSaveFileName}
      7/4    0.000    0.000    6.694    1.673 text.py:73(_get_text_metrics_with_cache_impl)
      7/4    0.658    0.094    6.465    1.616 backend_agg.py:206(get_text_width_height_descent)
       43    0.005    0.000    5.520    0.128 __init__.py:1(<module>)
   410/10    0.007    0.000    4.742    0.474 <frozen importlib._bootstrap>:1349(_find_and_load)
   407/10    0.006    0.000    4.740    0.474 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   391/11    0.005    0.000    4.733    0.430 <frozen importlib._bootstrap>:911(_load_unlocked)
   324/11    0.003    0.000    4.731    0.430 <frozen importlib._bootstrap_external>:993(exec_module)
   943/17    0.004    0.000    4.730    0.278 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   439/25    0.006    0.000    4.227    0.169 {built-in method builtins.__import__}
   382500    4.068    0.000    4.068    0.000 LebwohlLasher.py:131(one_energy)
   421/93    0.004    0.000    3.859    0.041 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       50    1.112    0.022    3.784    0.076 LebwohlLasher.py:210(MC_step)
        1    0.001    0.001    2.448    2.448 pyplot.py:1(<module>)
    135/2    0.003    0.000    2.326    1.163 text.py:926(get_window_extent)
    208/2    0.027    0.000    2.309    1.154 text.py:358(_get_layout)
1245/1155    0.037    0.000    2.300    0.002 {built-in method builtins.__build_class__}
      106    0.011    0.000    1.661    0.016 artist.py:158(_update_set_signature_and_docstring)
      105    0.016    0.000    1.625    0.015 artist.py:125(__init_subclass__)
       51    0.239    0.005    1.589    0.031 LebwohlLasher.py:165(all_energy)
        2    0.000    0.000    1.558    0.779 pyplot.py:1621(subplots)
        2    0.000    0.000    1.396    0.698 pyplot.py:871(figure)
        2    0.000    0.000    1.395    0.697 pyplot.py:548(new_figure_manager)
      120    0.001    0.000    1.299    0.011 artist.py:1832(kwdoc)
        6    0.000    0.000    1.226    0.204 quiver.py:581(draw)
        1    0.000    0.000    1.180    1.180 figure.py:1(<module>)
      120    0.021    0.000    1.099    0.009 artist.py:1593(pprint_setters)
        1    0.000    0.000    1.081    1.081 image.py:1(<module>)
        1    0.000    0.000    1.023    1.023 backend_bases.py:1(<module>)
