#=====================================================
# File created:        Tue-24-Feb-2026-at-04-24-37PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.571296
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2429.0254  0.2767 
   00001    0.6836   -3748.8059  0.2701 
   00002    0.6312   -4559.2120  0.2722 
   00003    0.5848   -5095.6800  0.2783 
   00004    0.5676   -5600.1069  0.2808 
   00005    0.5236   -5904.5429  0.2831 
   00006    0.5252   -6121.3335  0.2888 
   00007    0.4872   -6326.9353  0.2989 
   00008    0.5032   -6496.1585  0.3002 
   00009    0.5016   -6682.2834  0.3006 
   00010    0.4920   -6819.8135  0.3107 
   00011    0.4916   -6929.0541  0.3092 
   00012    0.4616   -7008.6033  0.3065 
   00013    0.4732   -7146.8087  0.3143 
   00014    0.4564   -7234.1828  0.3182 
   00015    0.4620   -7309.9583  0.3239 
   00016    0.4552   -7345.7113  0.3296 
   00017    0.4408   -7417.2909  0.3370 
   00018    0.4488   -7517.3083  0.3439 
   00019    0.4676   -7577.7889  0.3503 
   00020    0.4388   -7583.2619  0.3519 
   00021    0.4432   -7611.8757  0.3517 
   00022    0.4404   -7624.6309  0.3619 
   00023    0.4532   -7682.6899  0.3675 
   00024    0.4360   -7690.2112  0.3640 
   00025    0.4384   -7714.7859  0.3662 
   00026    0.4528   -7685.5273  0.3705 
   00027    0.4524   -7674.7073  0.3677 
   00028    0.4552   -7706.2664  0.3716 
   00029    0.4404   -7743.2157  0.3728 
   00030    0.4300   -7734.5480  0.3693 
   00031    0.4356   -7801.5265  0.3748 
   00032    0.4360   -7819.1619  0.3855 
   00033    0.4348   -7907.8712  0.3884 
   00034    0.4232   -7912.5642  0.3895 
   00035    0.4352   -7889.0026  0.3875 
   00036    0.4472   -7932.1361  0.3905 
   00037    0.4500   -7933.3173  0.3964 
   00038    0.4440   -7916.4425  0.4015 
   00039    0.4424   -7939.2902  0.4066 
   00040    0.4240   -7956.5330  0.4104 
   00041    0.4560   -7939.4498  0.4171 
   00042    0.4268   -7969.4685  0.4212 
   00043    0.4276   -7967.3693  0.4208 
   00044    0.4112   -7998.8721  0.4301 
   00045    0.4208   -7981.5500  0.4368 
   00046    0.4304   -8041.3937  0.4357 
   00047    0.4368   -8061.4476  0.4376 
   00048    0.4316   -8057.4951  0.4375 
   00049    0.4412   -8056.9781  0.4366 
   00050    0.4148   -8079.4220  0.4280 
