LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.650: Order: 0.299, Time: 4.746727 s
         1506208 function calls (1489153 primitive calls) in 9.185 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    316/1    0.006    0.000    9.187    9.187 {built-in method builtins.exec}
        1    0.000    0.000    9.187    9.187 LebwohlLasher.py:1(<module>)
       34    0.003    0.000    5.333    0.157 __init__.py:1(<module>)
        1    0.001    0.001    4.805    4.805 LebwohlLasher.py:257(main)
    366/4    0.006    0.000    4.413    1.103 <frozen importlib._bootstrap>:1349(_find_and_load)
    363/4    0.004    0.000    4.412    1.103 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    349/5    0.004    0.000    4.407    0.881 <frozen importlib._bootstrap>:911(_load_unlocked)
    301/5    0.002    0.000    4.407    0.881 <frozen importlib._bootstrap_external>:993(exec_module)
    854/9    0.003    0.000    4.395    0.488 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   416/14    0.001    0.000    3.799    0.271 {built-in method builtins.__import__}
   377500    3.556    0.000    3.556    0.000 LebwohlLasher.py:131(one_energy)
   371/66    0.003    0.000    3.554    0.054 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       50    0.978    0.020    3.399    0.068 LebwohlLasher.py:210(MC_step)
        1    0.002    0.002    3.320    3.320 pyplot.py:1(<module>)
1160/1070    0.027    0.000    2.410    0.002 {built-in method builtins.__build_class__}
      106    0.011    0.000    1.846    0.017 artist.py:158(_update_set_signature_and_docstring)
      105    0.014    0.000    1.837    0.017 artist.py:125(__init_subclass__)
        1    0.000    0.000    1.744    1.744 figure.py:1(<module>)
      120    0.002    0.000    1.506    0.013 artist.py:1832(kwdoc)
       51    0.193    0.004    1.331    0.026 LebwohlLasher.py:165(all_energy)
      120    0.023    0.000    1.264    0.011 artist.py:1593(pprint_setters)
     7555    0.613    0.000    1.206    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    1.102    1.102 image.py:1(<module>)
     4409    0.068    0.000    1.038    0.000 artist.py:1461(get_valid_values)
        1    0.000    0.000    1.001    1.001 backend_bases.py:1(<module>)
     7512    0.035    0.000    0.824    0.000 inspect.py:863(getdoc)
        1    0.000    0.000    0.720    0.720 _axes.py:1(<module>)
        1    0.000    0.000    0.583    0.583 text.py:1(<module>)
      227    0.003    0.000    0.525    0.002 artist.py:1413(__init__)
      227    0.177    0.001    0.519    0.002 artist.py:1433(get_aliases)
      301    0.008    0.000    0.459    0.002 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.000    0.000    0.386    0.386 _base.py:1(<module>)
        1    0.000    0.000    0.358    0.358 patches.py:1(<module>)
        1    0.001    0.001    0.352    0.352 rcsetup.py:1(<module>)
        1    0.000    0.000    0.341    0.341 widgets.py:1(<module>)
        1    0.000    0.000    0.336    0.336 collections.py:1(<module>)
        1    0.001    0.001    0.332    0.332 _axes.py:67(Axes)
      410    0.004    0.000    0.330    0.001 <frozen importlib._bootstrap_external>:1187(get_data)
  128/117    0.003    0.000    0.330    0.003 _docstring.py:122(__call__)
      227    0.109    0.000    0.312    0.001 artist.py:1511(get_setters)
      410    0.311    0.001    0.311    0.001 {method 'read' of '_io.BufferedReader' objects}
     7007    0.029    0.000    0.300    0.000 __init__.py:280(_compile)
        1    0.000    0.000    0.294    0.294 axes3d.py:1(<module>)
      200    0.003    0.000    0.290    0.001 pyplot.py:175(_copy_docstring_and_deprecators)
        9    0.000    0.000    0.288    0.032 _base.py:783(__init_subclass__)
172649/171368    0.273    0.000    0.276    0.000 {built-in method builtins.len}
       14    0.001    0.000    0.248    0.018 _docstring.py:73(__missing__)
      224    0.003    0.000    0.244    0.001 _compiler.py:745(compile)
      100    0.004    0.000    0.240    0.002 pyplot.py:208(_add_pyplot_note)
     5929    0.026    0.000    0.239    0.000 __init__.py:174(search)
       31    0.041    0.001    0.234    0.008 __init__.py:887(_rc_params_in_file)
        3    0.002    0.001    0.228    0.076 core.py:1(<module>)
        1    0.000    0.000    0.194    0.194 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.193    0.193 __config__.py:1(<module>)
      725    0.003    0.000    0.183    0.000 inspect.py:3346(signature)
      361    0.008    0.000    0.183    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
      725    0.003    0.000    0.180    0.000 inspect.py:3081(from_callable)
  856/725    0.015    0.000    0.178    0.000 inspect.py:2501(_signature_from_callable)
        2    0.001    0.000    0.163    0.081 core.py:198(read_style_directory)
    89210    0.158    0.000    0.158    0.000 {method 'lstrip' of 'str' objects}
       94    0.006    0.000    0.158    0.002 __init__.py:1450(_preprocess_data)
      358    0.001    0.000    0.158    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
        1    0.000    0.000    0.157    0.157 art3d.py:1(<module>)
      358    0.004    0.000    0.157    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
      224    0.002    0.000    0.152    0.001 _parser.py:969(parse)
  349/342    0.003    0.000    0.151    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    98445    0.149    0.000    0.149    0.000 {method 'startswith' of 'str' objects}
      608    0.014    0.000    0.148    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
  509/224    0.006    0.000    0.147    0.001 _parser.py:452(_parse_sub)
      977    0.006    0.000    0.146    0.000 __init__.py:751(__setitem__)
        1    0.000    0.000    0.143    0.143 colors.py:1(<module>)
  588/248    0.040    0.000    0.142    0.001 _parser.py:512(_parse)
      692    0.027    0.000    0.136    0.000 inspect.py:2397(_signature_from_function)
     6870    0.063    0.000    0.132    0.000 inspect.py:2743(__init__)
        1    0.000    0.000    0.127    0.127 offsetbox.py:1(<module>)
    63665    0.124    0.000    0.124    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.122    0.122 _arraypad_impl.py:1(<module>)
    43/41    0.000    0.000    0.121    0.003 <frozen importlib._bootstrap_external>:1291(create_module)
    43/41    0.086    0.002    0.120    0.003 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.119    0.119 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.115    0.115 axis.py:1(<module>)
    72231    0.097    0.000    0.111    0.000 {built-in method builtins.isinstance}
    73332    0.109    0.000    0.110    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.108    0.108 lines.py:1(<module>)
        1    0.000    0.000    0.106    0.106 geo.py:1(<module>)
        1    0.000    0.000    0.105    0.105 defmatrix.py:1(<module>)
       48    0.001    0.000    0.103    0.002 __init__.py:1406(_add_data_doc)
        1    0.000    0.000    0.100    0.100 _linalg.py:1(<module>)
       73    0.000    0.000    0.099    0.001 __init__.py:226(compile)
      301    0.009    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        1    0.000    0.000    0.094    0.094 cm.py:1(<module>)
      984    0.004    0.000    0.091    0.000 artist.py:1536(is_alias)
      456    0.003    0.000    0.087    0.000 artist.py:1530(number_of_parameters)
      224    0.001    0.000    0.086    0.000 _compiler.py:578(_code)
        1    0.000    0.000    0.084    0.084 font_manager.py:1(<module>)
      301    0.084    0.000    0.084    0.000 {built-in method marshal.loads}
     1427    0.003    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.080    0.080 polar.py:1(<module>)
     1440    0.079    0.000    0.079    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.078    0.078 multiarray.py:1(<module>)
  313/200    0.001    0.000    0.074    0.000 typing.py:392(inner)
     4409    0.031    0.000    0.069    0.000 artist.py:1549(aliased_name)
       64    0.007    0.000    0.067    0.001 deprecation.py:414(make_keyword_only)
 1208/224    0.025    0.000    0.067    0.000 _compiler.py:37(_compile)
      959    0.030    0.000    0.066    0.000 inspect.py:3029(__init__)
        1    0.000    0.000    0.065    0.065 _secondary_axes.py:1(<module>)
        1    0.000    0.000    0.063    0.063 Image.py:1(<module>)
      426    0.005    0.000    0.061    0.000 rcsetup.py:332(validate_color)
       19    0.001    0.000    0.059    0.003 rcsetup.py:814(validate_cycler)
        2    0.000    0.000    0.055    0.028 __init__.py:707(__getattr__)
      429    0.003    0.000    0.053    0.000 colors.py:224(is_color_like)
16443/16440    0.040    0.000    0.052    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.052    0.052 axis3d.py:1(<module>)
    37820    0.050    0.000    0.050    0.000 {method 'append' of 'list' objects}
     7352    0.028    0.000    0.049    0.000 enum.py:720(__call__)
      462    0.004    0.000    0.047    0.000 colors.py:278(to_rgba)
        1    0.000    0.000    0.045    0.045 colorizer.py:1(<module>)
        1    0.000    0.000    0.045    0.045 quiver.py:1(<module>)
    32311    0.044    0.000    0.044    0.000 {built-in method builtins.callable}
    10233    0.043    0.000    0.043    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.042    0.042 table.py:1(<module>)
        1    0.000    0.000    0.042    0.042 textpath.py:1(<module>)
        1    0.000    0.000    0.041    0.041 contour.py:1(<module>)
16889/16855    0.028    0.000    0.041    0.000 {built-in method builtins.hasattr}
