#=====================================================
# File created:        Sat-28-Feb-2026-at-09-37-41AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.099674
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2429.4443  0.2525 
   00001    0.0004   -2425.3641  0.2548 
   00002    0.0000   -2425.3641  0.2548 
   00003    0.0000   -2425.3641  0.2548 
   00004    0.0000   -2425.3641  0.2548 
   00005    0.0004   -2527.7212  0.2670 
   00006    0.0000   -2527.7212  0.2670 
   00007    0.0000   -2527.7212  0.2670 
   00008    0.0004   -2585.2999  0.2649 
   00009    0.0000   -2585.2999  0.2649 
   00010    0.0000   -2585.2999  0.2649 
   00011    0.0000   -2585.2999  0.2649 
   00012    0.0000   -2585.2999  0.2649 
   00013    0.0000   -2585.2999  0.2649 
   00014    0.0000   -2585.2999  0.2649 
   00015    0.0000   -2585.2999  0.2649 
   00016    0.0000   -2585.2999  0.2649 
   00017    0.0004   -2499.8982  0.2613 
   00018    0.0000   -2499.8982  0.2613 
   00019    0.0004   -2483.1575  0.2586 
   00020    0.0004   -2585.1546  0.2665 
   00021    0.0000   -2585.1546  0.2665 
   00022    0.0004   -2625.8964  0.2545 
   00023    0.0000   -2625.8964  0.2545 
   00024    0.0004   -2605.8903  0.2529 
   00025    0.0000   -2605.8903  0.2529 
   00026    0.0000   -2605.8903  0.2529 
   00027    0.0000   -2605.8903  0.2529 
   00028    0.0000   -2605.8903  0.2529 
   00029    0.0000   -2605.8903  0.2529 
   00030    0.0000   -2605.8903  0.2529 
   00031    0.0000   -2605.8903  0.2529 
   00032    0.0000   -2605.8903  0.2529 
   00033    0.0000   -2605.8903  0.2529 
   00034    0.0000   -2605.8903  0.2529 
   00035    0.0000   -2605.8903  0.2529 
   00036    0.0000   -2605.8903  0.2529 
   00037    0.0004   -2633.0044  0.2576 
   00038    0.0000   -2633.0044  0.2576 
   00039    0.0000   -2633.0044  0.2576 
   00040    0.0000   -2633.0044  0.2576 
   00041    0.0004   -2674.3492  0.2638 
   00042    0.0000   -2674.3492  0.2638 
   00043    0.0000   -2674.3492  0.2638 
   00044    0.0000   -2674.3492  0.2638 
   00045    0.0000   -2674.3492  0.2638 
   00046    0.0000   -2674.3492  0.2638 
   00047    0.0000   -2674.3492  0.2638 
   00048    0.0000   -2674.3492  0.2638 
   00049    0.0000   -2674.3492  0.2638 
   00050    0.0000   -2674.3492  0.2638 
