full_vector_test#.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.267, Time: 4.033049 s
         2764173 function calls (2733146 primitive calls) in 12.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.274    0.274 _axes.py:67(Axes)
        1    0.000    0.000    0.271    0.271 patches.py:1(<module>)
       31    0.028    0.001    0.271    0.009 __init__.py:887(_rc_params_in_file)
        1    0.000    0.000    0.267    0.267 geo.py:1(<module>)
        4    0.010    0.003    0.265    0.066 collections.py:1206(set_verts)
        1    0.000    0.000    0.263    0.263 axes3d.py:1(<module>)
     5096    0.030    0.000    0.262    0.000 path.py:99(__init__)
     5932    0.029    0.000    0.254    0.000 __init__.py:174(search)
        3    0.002    0.001    0.252    0.084 core.py:1(<module>)
      397    0.008    0.000    0.247    0.001 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.245    0.245 _fontconfig_pattern.py:1(<module>)
      210    0.019    0.000    0.242    0.001 enum.py:528(__new__)
      317    0.006    0.000    0.229    0.001 <frozen importlib._bootstrap_external>:1066(get_code)
        1    0.005    0.005    0.224    0.224 backend_qt.py:1(<module>)
      381    0.001    0.000    0.221    0.001 <frozen importlib._bootstrap_external>:1524(find_spec)
      381    0.004    0.000    0.220    0.001 <frozen importlib._bootstrap_external>:1495(_get_spec)
        1    0.000    0.000    0.218    0.218 pyi_generator.py:1(<module>)
        1    0.000    0.000    0.218    0.218 pyi_generator.py:87(Formatter)
       14    0.000    0.000    0.214    0.015 _docstring.py:73(__missing__)
      645    0.015    0.000    0.207    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
7266/3912    0.024    0.000    0.205    0.000 {built-in method __new__ of type object at 0xb59219a29a68}
       36    0.005    0.000    0.204    0.006 axis.py:59(__init__)
   133596    0.197    0.000    0.197    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.190    0.190 __config__.py:1(<module>)
     3354    0.085    0.000    0.185    0.000 enum.py:254(__set_name__)
     3797    0.057    0.000    0.182    0.000 enum.py:390(__setitem__)
        2    0.023    0.011    0.178    0.089 backend_qt.py:584(__init__)
      982    0.008    0.000    0.175    0.000 __init__.py:751(__setitem__)
        1    0.000    0.000    0.170    0.170 polar.py:1(<module>)
   100757    0.169    0.000    0.169    0.000 {method 'startswith' of 'str' objects}
      229    0.002    0.000    0.168    0.001 _compiler.py:578(_code)
   145756    0.164    0.000    0.164    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.161    0.161 art3d.py:1(<module>)
        2    0.001    0.001    0.159    0.079 core.py:198(read_style_directory)
      728    0.002    0.000    0.157    0.000 inspect.py:3346(signature)
       18    0.001    0.000    0.156    0.009 axis.py:367(__init__)
      728    0.002    0.000    0.155    0.000 inspect.py:3081(from_callable)
    84055    0.143    0.000    0.153    0.000 {built-in method builtins.getattr}
  862/728    0.013    0.000    0.152    0.000 inspect.py:2501(_signature_from_callable)
 2358/229    0.051    0.000    0.147    0.001 _compiler.py:37(_compile)
       28    0.001    0.000    0.144    0.005 axis.py:1606(_copy_tick_props)
    89210    0.141    0.000    0.141    0.000 {method 'lstrip' of 'str' objects}
     1531    0.005    0.000    0.140    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      264    0.002    0.000    0.140    0.001 markers.py:220(__init__)
     1626    0.138    0.000    0.139    0.000 {built-in method posix.stat}
   132500    0.138    0.000    0.138    0.000 fromnumeric.py:2333(_sum_dispatcher)
      264    0.004    0.000    0.132    0.001 markers.py:299(_set_marker)
       94    0.005    0.000    0.132    0.001 __init__.py:1450(_preprocess_data)
       84    0.001    0.000    0.130    0.002 lines.py:1352(update_from)
        2    0.000    0.000    0.130    0.065 backend_qt.py:660(show)
        2    0.098    0.049    0.130    0.065 {method 'show' of 'PySide6.QtWidgets.QWidget' objects}
        1    0.000    0.000    0.129    0.129 cm.py:1(<module>)
       18    0.001    0.000    0.127    0.007 axis.py:428(__init__)
     6877    0.059    0.000    0.125    0.000 inspect.py:2743(__init__)
        2    0.000    0.000    0.122    0.061 figure.py:785(subplots)
        2    0.000    0.000    0.122    0.061 gridspec.py:249(subplots)
        1    0.000    0.000    0.122    0.122 multiarray.py:1(<module>)
        2    0.000    0.000    0.121    0.061 figure.py:644(add_subplot)
        2    0.000    0.000    0.121    0.061 _base.py:615(__init__)
    15515    0.048    0.000    0.116    0.000 __init__.py:781(__getitem__)
  4144/84    0.049    0.000    0.115    0.001 copy.py:118(deepcopy)
        2    0.000    0.000    0.114    0.057 collections.py:1005(draw)
      695    0.024    0.000    0.114    0.000 inspect.py:2397(_signature_from_function)
        2    0.114    0.057    0.114    0.057 collections.py:352(draw)
   252/84    0.009    0.000    0.112    0.001 copy.py:217(_deepcopy_dict)
        1    0.000    0.000    0.112    0.112 colors.py:1(<module>)
    66699    0.110    0.000    0.110    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.107    0.053 backend_bases.py:2611(__init__)
        1    0.000    0.000    0.106    0.106 axis.py:1(<module>)
        2    0.028    0.014    0.105    0.053 backend_qt.py:693(__init__)
     5099    0.038    0.000    0.103    0.000 __init__.py:147(check_shape)
      426    0.004    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
     5096    0.026    0.000    0.098    0.000 path.py:202(_update_values)
      317    0.009    0.000    0.097    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
        2    0.000    0.000    0.095    0.047 _base.py:1445(clear)
        2    0.000    0.000    0.095    0.047 _base.py:1313(__clear)
      526    0.018    0.000    0.095    0.000 artist.py:1188(_update_props)
      108    0.009    0.000    0.093    0.001 lines.py:301(__init__)
      326    0.001    0.000    0.090    0.000 artist.py:146(<lambda>)
