#=====================================================
# File created:        Sat-28-Feb-2026-at-02-20-19PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.033049
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2555.8722  0.2533 
   00001    0.6804   -2617.9576  0.2576 
   00002    0.6368   -2753.7261  0.2597 
   00003    0.6200   -2744.9320  0.2568 
   00004    0.5956   -2815.4954  0.2687 
   00005    0.5628   -3001.3303  0.2611 
   00006    0.5360   -3050.3347  0.2538 
   00007    0.5596   -3132.6978  0.2600 
   00008    0.5564   -3293.0687  0.2529 
   00009    0.5276   -3316.7534  0.2571 
   00010    0.5052   -3394.3565  0.2621 
   00011    0.4888   -3515.4934  0.2577 
   00012    0.5012   -3519.7198  0.2541 
   00013    0.4884   -3564.5551  0.2570 
   00014    0.4636   -3685.3704  0.2611 
   00015    0.4708   -3807.2708  0.2641 
   00016    0.4660   -3874.6611  0.2742 
   00017    0.4824   -3937.1394  0.2676 
   00018    0.4596   -3906.8486  0.2629 
   00019    0.4340   -3982.6105  0.2590 
   00020    0.4504   -4052.3051  0.2565 
   00021    0.4556   -4149.8031  0.2568 
   00022    0.4520   -4258.0220  0.2609 
   00023    0.4364   -4293.7321  0.2710 
   00024    0.4364   -4329.1802  0.2651 
   00025    0.4388   -4375.5268  0.2804 
   00026    0.4428   -4421.7138  0.2663 
   00027    0.4368   -4556.1767  0.2639 
   00028    0.4276   -4533.6187  0.2668 
   00029    0.4360   -4610.1186  0.2661 
   00030    0.4268   -4621.9888  0.2673 
   00031    0.4096   -4632.7166  0.2616 
   00032    0.4268   -4589.7013  0.2631 
   00033    0.4220   -4535.8449  0.2691 
   00034    0.4352   -4628.7864  0.2752 
   00035    0.4056   -4634.1071  0.2743 
   00036    0.4324   -4709.3974  0.2749 
   00037    0.4236   -4721.5561  0.2733 
   00038    0.4112   -4759.1144  0.2834 
   00039    0.4108   -4764.4813  0.2873 
   00040    0.3872   -4753.6808  0.2860 
   00041    0.4028   -4822.4673  0.2945 
   00042    0.3932   -4760.2936  0.2916 
   00043    0.3996   -4746.9367  0.2927 
   00044    0.3936   -4774.6941  0.2857 
   00045    0.4080   -4862.6032  0.2935 
   00046    0.4128   -4860.9355  0.2902 
   00047    0.4140   -4894.1233  0.2849 
   00048    0.4188   -4903.6569  0.2806 
   00049    0.4124   -4934.3450  0.2675 
   00050    0.3932   -4877.0128  0.2713 
