#=====================================================
# File created:        Tue-03-Mar-2026-at-10-13-03AM
# Size of lattice:     50x50
# Number of MC steps:  20
# Reduced temperature: 0.500
# Run time (s):        1.651128
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2427.2129  0.2521 
   00001    0.6920   -3715.9451  0.2807 
   00002    0.5992   -4487.9062  0.2953 
   00003    0.5920   -5115.9493  0.2937 
   00004    0.5644   -5572.0897  0.2988 
   00005    0.5432   -5871.6576  0.3014 
   00006    0.5032   -6164.2161  0.3100 
   00007    0.5224   -6376.6027  0.3158 
   00008    0.4920   -6619.3076  0.3196 
   00009    0.4960   -6739.5452  0.3277 
   00010    0.4860   -6793.2644  0.3332 
   00011    0.4884   -6915.0037  0.3288 
   00012    0.4716   -7025.6154  0.3395 
   00013    0.4628   -7114.0143  0.3393 
   00014    0.4568   -7140.7630  0.3423 
   00015    0.4688   -7255.2721  0.3437 
   00016    0.4504   -7261.2167  0.3437 
   00017    0.4488   -7361.4698  0.3488 
   00018    0.4572   -7387.0700  0.3462 
   00019    0.4520   -7464.1468  0.3425 
   00020    0.4604   -7571.7936  0.3455 
