#=====================================================
# File created:        Tue-03-Mar-2026-at-10-13-47AM
# Size of lattice:     20x20
# Number of MC steps:  20
# Reduced temperature: 0.500
# Run time (s):        0.243977
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -442.6135  0.2720 
   00001    0.7000    -600.7814  0.2701 
   00002    0.6000    -714.2423  0.2731 
   00003    0.6000    -821.1668  0.2909 
   00004    0.5475    -903.1567  0.3295 
   00005    0.5450    -950.5584  0.3168 
   00006    0.5475    -992.4850  0.3143 
   00007    0.4900   -1026.3040  0.3213 
   00008    0.5075   -1068.3136  0.3303 
   00009    0.5000   -1099.8763  0.3346 
   00010    0.5350   -1091.6953  0.3511 
   00011    0.4550   -1130.1698  0.3480 
   00012    0.4425   -1143.2712  0.3567 
   00013    0.4425   -1144.8631  0.3766 
   00014    0.4575   -1139.6251  0.3645 
   00015    0.4725   -1140.2241  0.3739 
   00016    0.4400   -1157.6476  0.3703 
   00017    0.4750   -1160.2357  0.3729 
   00018    0.4475   -1158.0759  0.3506 
   00019    0.4500   -1175.6777  0.3454 
   00020    0.4625   -1191.0916  0.3414 
