#=====================================================
# File created:        Tue-03-Mar-2026-at-10-21-57AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.600
# Run time (s):        3.697902
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2499.9072  0.2647 
   00001    0.6768   -3676.5375  0.2740 
   00002    0.6164   -4492.6192  0.2855 
   00003    0.5704   -5038.5903  0.2939 
   00004    0.5432   -5426.3733  0.3024 
   00005    0.5256   -5651.2561  0.3034 
   00006    0.5236   -5952.7314  0.3075 
   00007    0.5052   -6075.7191  0.3085 
   00008    0.4992   -6250.5803  0.3128 
   00009    0.4796   -6436.8100  0.3148 
   00010    0.4824   -6532.1393  0.3177 
   00011    0.4924   -6604.7740  0.3329 
   00012    0.4688   -6705.4642  0.3426 
   00013    0.4844   -6784.8758  0.3491 
   00014    0.4664   -6885.9676  0.3558 
   00015    0.4564   -6914.6057  0.3534 
   00016    0.4560   -6921.6110  0.3528 
   00017    0.4564   -7023.6398  0.3569 
   00018    0.4536   -7121.6870  0.3578 
   00019    0.4352   -7265.8918  0.3605 
   00020    0.4536   -7218.8295  0.3660 
   00021    0.4388   -7265.5900  0.3769 
   00022    0.4516   -7300.8379  0.3806 
   00023    0.4328   -7298.5849  0.3896 
   00024    0.4372   -7290.2726  0.3853 
   00025    0.4376   -7355.5033  0.3980 
   00026    0.4276   -7401.4239  0.3882 
   00027    0.4444   -7456.8404  0.3896 
   00028    0.4404   -7524.4154  0.4082 
   00029    0.4468   -7502.3851  0.4117 
   00030    0.4408   -7488.8718  0.4177 
   00031    0.4452   -7515.4925  0.4226 
   00032    0.4324   -7569.6783  0.4306 
   00033    0.4300   -7606.4181  0.4279 
   00034    0.4312   -7669.6021  0.4255 
   00035    0.4284   -7656.4687  0.4224 
   00036    0.4084   -7682.8914  0.4307 
   00037    0.4228   -7642.3828  0.4346 
   00038    0.4228   -7696.3576  0.4413 
   00039    0.4052   -7670.2676  0.4388 
   00040    0.4244   -7670.1692  0.4390 
   00041    0.4384   -7685.7264  0.4419 
   00042    0.4244   -7706.3791  0.4441 
   00043    0.4248   -7723.4209  0.4376 
   00044    0.3976   -7739.2862  0.4344 
   00045    0.4236   -7772.7156  0.4314 
   00046    0.4156   -7797.1518  0.4289 
   00047    0.4068   -7790.0928  0.4243 
   00048    0.4156   -7829.3546  0.4235 
   00049    0.4172   -7849.0535  0.4306 
   00050    0.4136   -7855.3750  0.4308 
