#=====================================================
# File created:        Tue-03-Mar-2026-at-11-10-01AM
# Size of lattice:     60x60
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.368802
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -3685.4781  0.2509 
   00001    0.6656   -5424.9649  0.2599 
   00002    0.6147   -6482.3710  0.2663 
   00003    0.5906   -7274.1039  0.2688 
   00004    0.5564   -7922.1690  0.2714 
   00005    0.5464   -8487.9556  0.2760 
   00006    0.5264   -8877.7013  0.2683 
   00007    0.5283   -9176.7016  0.2645 
   00008    0.5025   -9436.8922  0.2669 
   00009    0.4797   -9702.8181  0.2700 
   00010    0.4894   -9848.4122  0.2724 
   00011    0.4961   -9973.7088  0.2766 
   00012    0.4722  -10136.3865  0.2785 
   00013    0.4814  -10235.8765  0.2846 
   00014    0.4700  -10402.4711  0.2919 
   00015    0.4633  -10474.6109  0.2966 
   00016    0.4656  -10594.0937  0.3039 
   00017    0.4661  -10649.3762  0.2936 
   00018    0.4572  -10706.7668  0.2970 
   00019    0.4469  -10820.1114  0.3021 
   00020    0.4672  -10847.8558  0.3002 
   00021    0.4494  -10957.1903  0.3018 
   00022    0.4472  -11048.1952  0.2962 
   00023    0.4286  -11130.6985  0.2969 
   00024    0.4497  -11108.8311  0.3022 
   00025    0.4422  -11151.6668  0.3061 
   00026    0.4578  -11244.6012  0.3106 
   00027    0.4319  -11285.9279  0.3101 
   00028    0.4364  -11273.7389  0.3091 
   00029    0.4292  -11334.8590  0.3129 
   00030    0.4408  -11378.8525  0.3152 
   00031    0.4342  -11408.9289  0.3182 
   00032    0.4253  -11432.8798  0.3163 
   00033    0.4214  -11482.6712  0.3140 
   00034    0.4161  -11546.9915  0.3095 
   00035    0.4244  -11586.9298  0.3107 
   00036    0.4300  -11607.9287  0.3077 
   00037    0.4244  -11622.9737  0.3126 
   00038    0.4372  -11670.6398  0.3176 
   00039    0.4203  -11657.3385  0.3136 
   00040    0.4267  -11621.3843  0.3128 
   00041    0.4333  -11599.9679  0.3204 
   00042    0.4392  -11630.3545  0.3166 
   00043    0.4331  -11641.6821  0.3141 
   00044    0.4300  -11630.0293  0.3146 
   00045    0.4108  -11628.5714  0.3159 
   00046    0.4269  -11700.0971  0.3223 
   00047    0.4300  -11724.9730  0.3277 
   00048    0.4192  -11737.1624  0.3261 
   00049    0.4314  -11751.1226  0.3356 
   00050    0.4197  -11768.5179  0.3341 
