#=====================================================
# File created:        Tue-03-Mar-2026-at-11-10-45AM
# Size of lattice:     80x80
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        7.603631
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6285.1090  0.2575 
   00001    0.6809   -9450.9686  0.2547 
   00002    0.6312  -11651.5889  0.2660 
   00003    0.5794  -13006.7429  0.2675 
   00004    0.5487  -14158.3609  0.2674 
   00005    0.5355  -15045.8883  0.2723 
   00006    0.5150  -15651.1482  0.2712 
   00007    0.5105  -16239.7979  0.2758 
   00008    0.4875  -16676.9631  0.2842 
   00009    0.5027  -17145.4478  0.2861 
   00010    0.4833  -17549.5873  0.2884 
   00011    0.4688  -17823.7844  0.2896 
   00012    0.4648  -18093.4808  0.2910 
   00013    0.4669  -18322.7325  0.2917 
   00014    0.4606  -18470.7105  0.2966 
   00015    0.4656  -18721.0195  0.3015 
   00016    0.4569  -18950.2986  0.3051 
   00017    0.4416  -19060.6258  0.3048 
   00018    0.4536  -19261.4693  0.3002 
   00019    0.4514  -19429.2360  0.3066 
   00020    0.4441  -19592.2936  0.3089 
   00021    0.4483  -19689.2976  0.3115 
   00022    0.4420  -19794.2189  0.3182 
   00023    0.4338  -19860.7777  0.3234 
   00024    0.4397  -19839.3405  0.3277 
   00025    0.4347  -19900.9058  0.3299 
   00026    0.4355  -19951.1806  0.3326 
   00027    0.4363  -20021.3032  0.3331 
   00028    0.4334  -20086.3692  0.3321 
   00029    0.4259  -20141.8898  0.3352 
   00030    0.4347  -20178.0198  0.3395 
   00031    0.4355  -20291.4997  0.3420 
   00032    0.4311  -20283.2492  0.3459 
   00033    0.4403  -20349.1075  0.3491 
   00034    0.4192  -20428.3890  0.3516 
   00035    0.4381  -20464.3266  0.3562 
   00036    0.4217  -20462.9686  0.3580 
   00037    0.4314  -20537.8627  0.3603 
   00038    0.4241  -20624.6606  0.3546 
   00039    0.4263  -20606.7866  0.3530 
   00040    0.4377  -20730.0229  0.3538 
   00041    0.4216  -20683.1984  0.3567 
   00042    0.4339  -20735.6993  0.3574 
   00043    0.4245  -20852.6546  0.3605 
   00044    0.4286  -20788.4834  0.3639 
   00045    0.4336  -20847.3969  0.3618 
   00046    0.4291  -20833.1905  0.3630 
   00047    0.4323  -20874.3213  0.3670 
   00048    0.4328  -20865.0912  0.3698 
   00049    0.4223  -20851.4416  0.3714 
   00050    0.4192  -20868.9577  0.3725 
