#=====================================================
# File created:        Tue-03-Mar-2026-at-10-57-01AM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        7.170159
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2522.9702  0.2685 
   00001    0.6836   -3708.6085  0.2662 
   00002    0.6264   -4473.1166  0.2626 
   00003    0.5700   -5046.8086  0.2637 
   00004    0.5276   -5402.4316  0.2750 
   00005    0.5352   -5774.0580  0.2945 
   00006    0.5408   -6134.1277  0.2951 
   00007    0.5012   -6365.2664  0.2896 
   00008    0.5048   -6623.9413  0.2848 
   00009    0.4948   -6816.6579  0.2810 
   00010    0.4912   -6944.2299  0.2777 
   00011    0.4748   -7032.4671  0.2829 
   00012    0.4832   -7096.3442  0.2834 
   00013    0.4696   -7234.0674  0.2820 
   00014    0.4572   -7358.9640  0.2790 
   00015    0.4672   -7355.5239  0.2899 
   00016    0.4724   -7421.7653  0.2846 
   00017    0.4564   -7509.6856  0.2862 
   00018    0.4492   -7579.8887  0.2878 
   00019    0.4360   -7635.3343  0.2799 
   00020    0.4584   -7618.6503  0.2766 
   00021    0.4300   -7636.0011  0.2748 
   00022    0.4516   -7700.8731  0.2768 
   00023    0.4540   -7708.9759  0.2829 
   00024    0.4464   -7724.5950  0.2787 
   00025    0.4348   -7706.2319  0.2859 
   00026    0.4420   -7700.3455  0.2812 
   00027    0.4588   -7784.3217  0.2803 
   00028    0.4368   -7813.6414  0.2769 
   00029    0.4240   -7832.8932  0.2842 
   00030    0.4388   -7851.5881  0.2872 
   00031    0.4320   -7860.5169  0.2839 
   00032    0.4168   -7923.6854  0.2851 
   00033    0.4236   -7913.2826  0.2864 
   00034    0.4300   -7937.3538  0.2856 
   00035    0.4396   -7958.6984  0.2850 
   00036    0.4300   -7998.4308  0.2851 
   00037    0.4436   -8007.8147  0.2850 
   00038    0.4040   -8006.8526  0.2899 
   00039    0.4252   -8010.0838  0.2882 
   00040    0.4220   -8006.4682  0.2872 
   00041    0.4304   -8030.7624  0.2889 
   00042    0.4324   -8072.1752  0.2883 
   00043    0.4368   -8070.3257  0.2887 
   00044    0.4420   -8091.5765  0.2876 
   00045    0.4132   -8087.6454  0.2854 
   00046    0.4196   -8114.1887  0.2851 
   00047    0.4244   -8133.0698  0.2879 
   00048    0.4360   -8117.3442  0.2838 
   00049    0.4160   -8128.3037  0.2862 
   00050    0.4180   -8125.1727  0.2785 
   00051    0.4184   -8139.9524  0.2812 
   00052    0.4292   -8160.9788  0.2818 
   00053    0.4136   -8170.2317  0.2772 
   00054    0.4164   -8207.5717  0.2723 
   00055    0.4228   -8188.1534  0.2782 
   00056    0.4020   -8233.0631  0.2820 
   00057    0.4180   -8215.7234  0.2819 
   00058    0.4352   -8179.3692  0.2750 
   00059    0.4108   -8183.0485  0.2752 
   00060    0.4284   -8174.6291  0.2652 
   00061    0.4372   -8171.4816  0.2568 
   00062    0.4364   -8101.0324  0.2643 
   00063    0.4184   -8182.5744  0.2638 
   00064    0.4148   -8178.7840  0.2552 
   00065    0.4348   -8176.6858  0.2602 
   00066    0.4256   -8221.4479  0.2571 
   00067    0.4180   -8169.8666  0.2617 
   00068    0.4152   -8139.0926  0.2584 
   00069    0.4336   -8129.2096  0.2580 
   00070    0.4224   -8151.0182  0.2573 
   00071    0.4288   -8158.5600  0.2682 
   00072    0.4216   -8116.2995  0.2697 
   00073    0.4252   -8115.3094  0.2676 
   00074    0.4188   -8146.4388  0.2638 
   00075    0.4240   -8146.4357  0.2634 
   00076    0.4284   -8158.8618  0.2663 
   00077    0.4316   -8201.2628  0.2591 
   00078    0.3960   -8196.9716  0.2575 
   00079    0.4204   -8217.1647  0.2538 
   00080    0.3992   -8213.9888  0.2527 
   00081    0.4304   -8213.9439  0.2515 
   00082    0.4224   -8232.7345  0.2533 
   00083    0.4004   -8262.7546  0.2580 
   00084    0.4228   -8228.5008  0.2581 
   00085    0.4280   -8181.5020  0.2584 
   00086    0.4160   -8190.2541  0.2612 
   00087    0.4092   -8185.1717  0.2638 
   00088    0.4140   -8230.7182  0.2699 
   00089    0.4156   -8228.2543  0.2626 
   00090    0.4124   -8248.9709  0.2743 
   00091    0.4212   -8215.0923  0.2806 
   00092    0.4168   -8167.8149  0.2818 
   00093    0.4136   -8174.0784  0.2721 
   00094    0.4256   -8184.6799  0.2696 
   00095    0.4276   -8215.3439  0.2709 
   00096    0.4256   -8231.5707  0.2785 
   00097    0.4348   -8271.8961  0.2744 
   00098    0.4348   -8249.9483  0.2731 
   00099    0.4144   -8249.6734  0.2657 
   00100    0.4176   -8253.0220  0.2734 
