#=====================================================
# File created:        Sun-01-Mar-2026-at-11-31-39PM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 0.500
# Run time (s):        0.247972
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10131.0769  0.2528
   00001    0.0000  -14842.8468  0.2541
   00002    0.0000  -17920.9305  0.2595
   00003    0.0000  -20213.2045  0.2624
   00004    0.0000  -21890.9657  0.2679
   00005    0.0000  -23179.2732  0.2685
   00006    0.0000  -24298.7399  0.2670
   00007    0.0000  -25198.6034  0.2708
   00008    0.0000  -25872.5085  0.2709
   00009    0.0000  -26572.4801  0.2727
   00010    0.0000  -27145.1865  0.2744
   00011    0.0000  -27720.7996  0.2756
   00012    0.0000  -28079.0998  0.2724
   00013    0.0000  -28445.1867  0.2774
   00014    0.0000  -28775.8635  0.2770
   00015    0.0000  -29145.7898  0.2760
   00016    0.0000  -29310.4180  0.2798
   00017    0.0000  -29562.0395  0.2805
   00018    0.0000  -29825.2128  0.2801
   00019    0.0000  -30144.6195  0.2833
   00020    0.0000  -30338.6402  0.2850
   00021    0.0000  -30409.8018  0.2837
   00022    0.0000  -30617.2478  0.2848
   00023    0.0000  -30858.5810  0.2855
   00024    0.0000  -31006.4074  0.2842
   00025    0.0000  -31127.3238  0.2864
   00026    0.0000  -31226.4688  0.2878
   00027    0.0000  -31404.0978  0.2887
   00028    0.0000  -31519.9295  0.2902
   00029    0.0000  -31644.4477  0.2884
   00030    0.0000  -31666.8831  0.2854
   00031    0.0000  -31768.7072  0.2834
   00032    0.0000  -31771.8030  0.2832
   00033    0.0000  -31851.3163  0.2823
   00034    0.0000  -31873.3832  0.2816
   00035    0.0000  -31978.0600  0.2822
   00036    0.0000  -31917.4644  0.2866
   00037    0.0000  -32005.1951  0.2889
   00038    0.0000  -32086.7200  0.2870
   00039    0.0000  -32157.4654  0.2867
   00040    0.0000  -32241.4523  0.2896
   00041    0.0000  -32205.9594  0.2910
   00042    0.0000  -32250.2101  0.2938
   00043    0.0000  -32184.3559  0.2920
   00044    0.0000  -32264.0621  0.2954
   00045    0.0000  -32411.9269  0.2968
   00046    0.0000  -32392.4014  0.2994
   00047    0.0000  -32404.2887  0.3039
   00048    0.0000  -32470.1867  0.3050
   00049    0.0000  -32525.6830  0.3044
   00050    0.0000  -32517.6844  0.3039
   00051    0.0000  -32529.9547  0.3015
   00052    0.0000  -32518.7008  0.2999
   00053    0.0000  -32559.8554  0.2990
   00054    0.0000  -32701.1037  0.2970
   00055    0.0000  -32707.2546  0.2974
   00056    0.0000  -32657.9576  0.2943
   00057    0.0000  -32803.9935  0.2979
   00058    0.0000  -32868.6476  0.2963
   00059    0.0000  -32833.3842  0.2987
   00060    0.0000  -32803.1404  0.2997
   00061    0.0000  -32732.4289  0.3008
   00062    0.0000  -32847.7160  0.2996
   00063    0.0000  -32897.5311  0.2978
   00064    0.0000  -32865.9827  0.2995
   00065    0.0000  -32886.8780  0.2985
   00066    0.0000  -32983.8757  0.2992
   00067    0.0000  -32965.3289  0.2999
   00068    0.0000  -32929.4802  0.2993
   00069    0.0000  -32838.9624  0.2974
   00070    0.0000  -32945.8075  0.2964
   00071    0.0000  -32904.5382  0.2977
   00072    0.0000  -33074.1551  0.3037
   00073    0.0000  -33035.7547  0.3014
   00074    0.0000  -33010.5650  0.3012
   00075    0.0000  -32915.0065  0.3029
   00076    0.0000  -32993.9859  0.2995
   00077    0.0000  -33094.1392  0.3012
   00078    0.0000  -33159.3237  0.3011
   00079    0.0000  -33134.8491  0.3006
   00080    0.0000  -33132.9067  0.3028
   00081    0.0000  -33100.9037  0.3046
   00082    0.0000  -33143.9782  0.3010
   00083    0.0000  -33213.1499  0.3008
   00084    0.0000  -33232.7764  0.3011
   00085    0.0000  -33104.9433  0.2996
   00086    0.0000  -33059.2752  0.2982
   00087    0.0000  -33095.1428  0.3015
   00088    0.0000  -33204.5461  0.2973
   00089    0.0000  -33124.6016  0.2965
   00090    0.0000  -33136.2147  0.2992
   00091    0.0000  -33039.1406  0.3015
   00092    0.0000  -33073.2422  0.2998
   00093    0.0000  -33042.6429  0.3006
   00094    0.0000  -33090.6929  0.2977
   00095    0.0000  -33084.7153  0.3019
   00096    0.0000  -33012.4892  0.3014
   00097    0.0000  -33142.2926  0.3012
   00098    0.0000  -33173.5545  0.3007
   00099    0.0000  -33119.2498  0.2976
   00100    0.0000  -33024.2828  0.2971
