#=====================================================
# File created:        Tue-03-Mar-2026-at-02-56-22PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.178657
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2401.2875  0.2756
   00001    0.0000   -3657.5929  0.2785
   00002    0.0000   -4535.7393  0.2752
   00003    0.0000   -5142.1321  0.2903
   00004    0.0000   -5513.9567  0.2901
   00005    0.0000   -5878.9884  0.2998
   00006    0.0000   -6147.5989  0.3022
   00007    0.0000   -6380.0405  0.3054
   00008    0.0000   -6485.1812  0.3059
   00009    0.0000   -6666.3349  0.3121
   00010    0.0000   -6783.5337  0.3223
   00011    0.0000   -6873.5609  0.3210
   00012    0.0000   -6986.1836  0.3242
   00013    0.0000   -7092.5968  0.3203
   00014    0.0000   -7188.4462  0.3312
   00015    0.0000   -7247.1300  0.3361
   00016    0.0000   -7287.3096  0.3409
   00017    0.0000   -7370.0451  0.3443
   00018    0.0000   -7418.5355  0.3421
   00019    0.0000   -7437.3486  0.3429
   00020    0.0000   -7459.4658  0.3493
   00021    0.0000   -7516.5358  0.3416
   00022    0.0000   -7567.8881  0.3363
   00023    0.0000   -7537.6261  0.3362
   00024    0.0000   -7556.7118  0.3283
   00025    0.0000   -7548.5515  0.3262
   00026    0.0000   -7635.9881  0.3258
   00027    0.0000   -7625.8709  0.3240
   00028    0.0000   -7650.3611  0.3252
   00029    0.0000   -7658.9013  0.3253
   00030    0.0000   -7688.3256  0.3276
   00031    0.0000   -7718.8451  0.3252
   00032    0.0000   -7692.9704  0.3220
   00033    0.0000   -7727.1169  0.3201
   00034    0.0000   -7832.5362  0.3196
   00035    0.0000   -7860.5026  0.3205
   00036    0.0000   -7887.3245  0.3274
   00037    0.0000   -7931.7000  0.3318
   00038    0.0000   -7991.6284  0.3334
   00039    0.0000   -8034.4020  0.3375
   00040    0.0000   -8030.8937  0.3385
   00041    0.0000   -7997.4920  0.3361
   00042    0.0000   -7938.7896  0.3310
   00043    0.0000   -7928.0740  0.3360
   00044    0.0000   -7939.7585  0.3380
   00045    0.0000   -7956.3660  0.3363
   00046    0.0000   -7983.1876  0.3323
   00047    0.0000   -7959.3002  0.3348
   00048    0.0000   -7969.2522  0.3446
   00049    0.0000   -7991.9420  0.3360
   00050    0.0000   -7995.0882  0.3314
