#=====================================================
# File created:        Tue-03-Mar-2026-at-07-01-41PM
# Size of lattice:     200x200
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.012628
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000          nan  0.2566
   00001    0.0000          nan  0.2578
   00002    0.0000          nan  0.2601
   00003    0.0000          nan  0.2601
   00004    0.0000          nan  0.2589
   00005    0.0000          nan  0.2598
   00006    0.0000          nan  0.2584
   00007    0.0000          nan  0.2571
   00008    0.0000          nan  0.2543
   00009    0.0000          nan  0.2531
   00010    0.0000          nan  0.2546
   00011    0.0000          nan  0.2556
   00012    0.0000          nan  0.2538
   00013    0.0000          nan  0.2523
   00014    0.0000          nan  0.2511
   00015    0.0000          nan  0.2511
   00016    0.0000          nan  0.2518
   00017    0.0000          nan  0.2507
   00018    0.0000          nan  0.2510
   00019    0.0000          nan  0.2512
   00020    0.0000          nan  0.2510
   00021    0.0000          nan  0.2529
   00022    0.0000          nan  0.2533
   00023    0.0000          nan  0.2548
   00024    0.0000          nan  0.2550
   00025    0.0000          nan  0.2540
   00026    0.0000          nan  0.2541
   00027    0.0000          nan  0.2536
   00028    0.0000          nan  0.2542
   00029    0.0000          nan  0.2545
   00030    0.0000          nan  0.2542
   00031    0.0000          nan  0.2543
   00032    0.0000          nan  0.2545
   00033    0.0000          nan  0.2544
   00034    0.0000          nan  0.2536
   00035    0.0000          nan  0.2539
   00036    0.0000          nan  0.2530
   00037    0.0000          nan  0.2533
   00038    0.0000          nan  0.2524
   00039    0.0000          nan  0.2535
   00040    0.0000          nan  0.2534
   00041    0.0000          nan  0.2546
   00042    0.0000          nan  0.2539
   00043    0.0000          nan  0.2516
   00044    0.0000          nan  0.2529
   00045    0.0000          nan  0.2516
   00046    0.0000          nan  0.2522
   00047    0.0000          nan  0.2509
   00048    0.0000          nan  0.2539
   00049    0.0000          nan  0.2535
   00050    0.0000          nan  0.2521
