#=====================================================
# File created:        Tue-03-Mar-2026-at-06-59-10PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.210620
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10018.3745  0.2562
   00001    0.0000  -14774.5797  0.2612
   00002    0.0000  -18075.8125  0.2632
   00003    0.0000  -20266.3155  0.2755
   00004    0.0000  -21941.3398  0.2746
   00005    0.0000  -23379.6947  0.2726
   00006    0.0000  -24393.2478  0.2738
   00007    0.0000  -25241.6302  0.2749
   00008    0.0000  -26131.1392  0.2726
   00009    0.0000  -26808.0787  0.2733
   00010    0.0000  -27294.1126  0.2742
   00011    0.0000  -27875.5198  0.2736
   00012    0.0000  -28171.4311  0.2752
   00013    0.0000  -28540.3581  0.2759
   00014    0.0000  -28917.4599  0.2759
   00015    0.0000  -29261.7729  0.2799
   00016    0.0000  -29529.9231  0.2809
   00017    0.0000  -29883.3563  0.2796
   00018    0.0000  -30054.1063  0.2766
   00019    0.0000  -30341.5581  0.2746
   00020    0.0000  -30531.2279  0.2743
   00021    0.0000  -30703.1696  0.2719
   00022    0.0000  -30827.3408  0.2722
   00023    0.0000  -30957.5856  0.2724
   00024    0.0000  -31032.6752  0.2746
   00025    0.0000  -31132.8389  0.2753
   00026    0.0000  -31279.6767  0.2732
   00027    0.0000  -31398.1542  0.2758
   00028    0.0000  -31447.0752  0.2763
   00029    0.0000  -31496.9875  0.2769
   00030    0.0000  -31573.6938  0.2783
   00031    0.0000  -31590.5622  0.2797
   00032    0.0000  -31667.8082  0.2834
   00033    0.0000  -31599.2839  0.2814
   00034    0.0000  -31731.7643  0.2796
   00035    0.0000  -31917.5234  0.2832
   00036    0.0000  -31968.0174  0.2835
   00037    0.0000  -32013.2477  0.2826
   00038    0.0000  -32014.7879  0.2822
   00039    0.0000  -31985.0965  0.2807
   00040    0.0000  -32183.1576  0.2806
   00041    0.0000  -32272.5871  0.2786
   00042    0.0000  -32357.3239  0.2785
   00043    0.0000  -32333.1902  0.2797
   00044    0.0000  -32356.0808  0.2813
   00045    0.0000  -32423.2185  0.2816
   00046    0.0000  -32581.5438  0.2775
   00047    0.0000  -32486.3783  0.2793
   00048    0.0000  -32487.6742  0.2817
   00049    0.0000  -32516.8180  0.2784
   00050    0.0000  -32516.8285  0.2749
