#=====================================================
# File created:        Tue-03-Mar-2026-at-07-05-21PM
# Size of lattice:     80x80
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.220206
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -6399.5179  0.2588
   00001    0.0000   -9596.1637  0.2560
   00002    0.0000  -11488.1176  0.2528
   00003    0.0000  -12999.1223  0.2503
   00004    0.0000  -14123.2414  0.2604
   00005    0.0000  -14884.9985  0.2664
   00006    0.0000  -15675.5156  0.2653
   00007    0.0000  -16352.2165  0.2625
   00008    0.0000  -16826.5621  0.2556
   00009    0.0000  -17175.9114  0.2534
   00010    0.0000  -17569.5840  0.2542
   00011    0.0000  -17815.5019  0.2563
   00012    0.0000  -18161.0720  0.2623
   00013    0.0000  -18343.4200  0.2610
   00014    0.0000  -18626.8885  0.2602
   00015    0.0000  -18807.1313  0.2627
   00016    0.0000  -18965.3102  0.2639
   00017    0.0000  -19027.9253  0.2604
   00018    0.0000  -19171.3738  0.2653
   00019    0.0000  -19293.0322  0.2682
   00020    0.0000  -19374.7316  0.2740
   00021    0.0000  -19531.7337  0.2787
   00022    0.0000  -19752.7656  0.2828
   00023    0.0000  -19784.2997  0.2846
   00024    0.0000  -19875.2130  0.2842
   00025    0.0000  -19882.5079  0.2841
   00026    0.0000  -19910.6818  0.2853
   00027    0.0000  -20051.6980  0.2841
   00028    0.0000  -20042.5123  0.2814
   00029    0.0000  -20006.5164  0.2814
   00030    0.0000  -20126.5958  0.2864
   00031    0.0000  -20198.8247  0.2893
   00032    0.0000  -20158.8417  0.2902
   00033    0.0000  -20197.4132  0.2912
   00034    0.0000  -20280.1746  0.2901
   00035    0.0000  -20330.8189  0.2918
   00036    0.0000  -20453.7395  0.2876
   00037    0.0000  -20515.4371  0.2888
   00038    0.0000  -20562.9725  0.2907
   00039    0.0000  -20580.8419  0.2862
   00040    0.0000  -20596.6949  0.2851
   00041    0.0000  -20587.1366  0.2849
   00042    0.0000  -20581.5471  0.2859
   00043    0.0000  -20638.9583  0.2863
   00044    0.0000  -20617.0485  0.2905
   00045    0.0000  -20636.7239  0.2936
   00046    0.0000  -20642.5109  0.2932
   00047    0.0000  -20718.4887  0.2984
   00048    0.0000  -20736.2347  0.3030
   00049    0.0000  -20746.1847  0.3018
   00050    0.0000  -20710.0871  0.3093
