#=====================================================
# File created:        Tue-03-Mar-2026-at-03-05-46PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.445812
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9886.3478  0.2573
   00001    0.0000  -14810.9719  0.2602
   00002    0.0000  -17840.0662  0.2595
   00003    0.0000  -20051.2269  0.2632
   00004    0.0000  -21822.3684  0.2649
   00005    0.0000  -23278.0289  0.2652
   00006    0.0000  -24480.3918  0.2655
   00007    0.0000  -25505.9000  0.2624
   00008    0.0000  -26287.0795  0.2630
   00009    0.0000  -26810.9298  0.2659
   00010    0.0000  -27405.0052  0.2653
   00011    0.0000  -27910.1960  0.2678
   00012    0.0000  -28349.2890  0.2633
   00013    0.0000  -28677.6732  0.2612
   00014    0.0000  -29118.8239  0.2635
   00015    0.0000  -29455.0117  0.2677
   00016    0.0000  -29657.6636  0.2689
   00017    0.0000  -29789.5690  0.2690
   00018    0.0000  -29977.2671  0.2684
   00019    0.0000  -30126.2705  0.2727
   00020    0.0000  -30333.0540  0.2705
   00021    0.0000  -30445.7388  0.2676
   00022    0.0000  -30545.6800  0.2713
   00023    0.0000  -30617.0119  0.2743
   00024    0.0000  -30826.3334  0.2775
   00025    0.0000  -30956.3495  0.2772
   00026    0.0000  -31035.6604  0.2737
   00027    0.0000  -31110.5522  0.2782
   00028    0.0000  -31254.5188  0.2813
   00029    0.0000  -31404.3878  0.2836
   00030    0.0000  -31372.6912  0.2818
   00031    0.0000  -31558.0890  0.2787
   00032    0.0000  -31587.6705  0.2821
   00033    0.0000  -31633.8902  0.2816
   00034    0.0000  -31697.2714  0.2821
   00035    0.0000  -31706.1063  0.2805
   00036    0.0000  -31861.6053  0.2811
   00037    0.0000  -31916.4042  0.2840
   00038    0.0000  -32054.7026  0.2870
   00039    0.0000  -31996.7429  0.2883
   00040    0.0000  -32009.0911  0.2848
   00041    0.0000  -32104.6243  0.2828
   00042    0.0000  -32166.6144  0.2831
   00043    0.0000  -32234.4194  0.2866
   00044    0.0000  -32280.0901  0.2829
   00045    0.0000  -32286.2347  0.2839
   00046    0.0000  -32352.5500  0.2859
   00047    0.0000  -32344.4117  0.2885
   00048    0.0000  -32306.6376  0.2861
   00049    0.0000  -32316.3657  0.2878
   00050    0.0000  -32341.6475  0.2878
