#=====================================================
# File created:        Sun-01-Mar-2026-at-11-36-09PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        0.015716
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -75.5505  0.3279
   00001    0.0000    -135.0006  0.3625
   00002    0.0000    -174.1417  0.3030
   00003    0.0000    -196.1787  0.3387
   00004    0.0000    -213.4975  0.3897
   00005    0.0000    -223.8054  0.4291
   00006    0.0000    -218.4332  0.4029
   00007    0.0000    -223.5579  0.4027
   00008    0.0000    -235.7126  0.3932
   00009    0.0000    -247.7662  0.4198
   00010    0.0000    -232.8051  0.3842
   00011    0.0000    -228.1821  0.3520
   00012    0.0000    -214.1901  0.3828
   00013    0.0000    -214.4135  0.3847
   00014    0.0000    -222.7392  0.4995
   00015    0.0000    -226.4637  0.5440
   00016    0.0000    -207.3402  0.5029
   00017    0.0000    -227.3330  0.4984
   00018    0.0000    -234.0020  0.4872
   00019    0.0000    -225.0082  0.4684
   00020    0.0000    -217.5516  0.4598
   00021    0.0000    -207.2517  0.4405
   00022    0.0000    -217.4586  0.3988
   00023    0.0000    -210.0895  0.4225
   00024    0.0000    -213.5871  0.4112
   00025    0.0000    -224.1916  0.3985
   00026    0.0000    -222.2152  0.3836
   00027    0.0000    -213.0369  0.2888
   00028    0.0000    -196.0418  0.2981
   00029    0.0000    -212.8994  0.3446
   00030    0.0000    -219.3368  0.2728
   00031    0.0000    -220.5142  0.3600
   00032    0.0000    -214.6412  0.3701
   00033    0.0000    -219.6822  0.3484
   00034    0.0000    -219.8036  0.3176
   00035    0.0000    -220.3119  0.2960
   00036    0.0000    -223.3271  0.3411
   00037    0.0000    -224.4048  0.3624
   00038    0.0000    -229.2478  0.3449
   00039    0.0000    -219.5609  0.4009
   00040    0.0000    -236.9738  0.3928
   00041    0.0000    -233.3432  0.4420
   00042    0.0000    -227.6926  0.4095
   00043    0.0000    -217.6574  0.4253
   00044    0.0000    -226.1297  0.3570
   00045    0.0000    -214.6958  0.3393
   00046    0.0000    -211.8263  0.3436
   00047    0.0000    -204.6499  0.3476
   00048    0.0000    -213.8543  0.3361
   00049    0.0000    -220.9892  0.3513
   00050    0.0000    -218.3897  0.4048
   00051    0.0000    -220.8153  0.3656
   00052    0.0000    -218.2876  0.4001
   00053    0.0000    -234.4154  0.3782
   00054    0.0000    -251.9977  0.4306
   00055    0.0000    -240.2308  0.5385
   00056    0.0000    -242.3216  0.4802
   00057    0.0000    -224.2210  0.4771
   00058    0.0000    -218.6566  0.4998
   00059    0.0000    -243.7092  0.5331
   00060    0.0000    -250.0317  0.4912
   00061    0.0000    -237.2224  0.5477
   00062    0.0000    -212.4554  0.5251
   00063    0.0000    -213.2767  0.5237
   00064    0.0000    -211.1922  0.4846
   00065    0.0000    -224.7960  0.4946
   00066    0.0000    -217.4156  0.4908
   00067    0.0000    -195.3096  0.4392
   00068    0.0000    -209.4594  0.4195
   00069    0.0000    -198.0599  0.3840
   00070    0.0000    -221.5742  0.4494
   00071    0.0000    -215.9383  0.4080
   00072    0.0000    -225.5868  0.4407
   00073    0.0000    -243.1410  0.4491
   00074    0.0000    -218.2886  0.4566
   00075    0.0000    -232.1102  0.4832
   00076    0.0000    -234.7793  0.4898
   00077    0.0000    -230.7963  0.4855
   00078    0.0000    -220.5808  0.4942
   00079    0.0000    -201.6153  0.4102
   00080    0.0000    -203.5428  0.4676
   00081    0.0000    -203.9256  0.5059
   00082    0.0000    -208.0695  0.4735
   00083    0.0000    -199.0050  0.3969
   00084    0.0000    -205.9672  0.4460
   00085    0.0000    -207.8960  0.4512
   00086    0.0000    -216.9124  0.4326
   00087    0.0000    -208.2112  0.3930
   00088    0.0000    -203.5832  0.4317
   00089    0.0000    -207.5880  0.3245
   00090    0.0000    -197.2354  0.3134
   00091    0.0000    -197.1556  0.3944
   00092    0.0000    -214.2112  0.4652
   00093    0.0000    -227.3323  0.4213
   00094    0.0000    -220.0598  0.3823
   00095    0.0000    -224.5007  0.2830
   00096    0.0000    -215.8707  0.2624
   00097    0.0000    -221.9310  0.2992
   00098    0.0000    -242.5224  0.3523
   00099    0.0000    -219.1536  0.3083
   00100    0.0000    -219.5511  0.3578
