#=====================================================
# File created:        Sun-01-Mar-2026-at-11-34-17PM
# Size of lattice:     10x10
# Number of MC steps:  100
# Reduced temperature: 10.000
# Run time (s):        0.017715
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000     -96.2979  0.3188
   00001    0.0000    -122.6831  0.2567
   00002    0.0000    -109.2388  0.3135
   00003    0.0000    -112.3516  0.4161
   00004    0.0000    -111.6041  0.3692
   00005    0.0000    -119.5997  0.3191
   00006    0.0000    -148.1142  0.4356
   00007    0.0000     -96.0048  0.3354
   00008    0.0000    -129.9193  0.2983
   00009    0.0000    -111.4642  0.3900
   00010    0.0000    -108.5976  0.3341
   00011    0.0000     -81.9053  0.3320
   00012    0.0000    -120.6696  0.3061
   00013    0.0000     -99.2250  0.2818
   00014    0.0000    -111.6059  0.2840
   00015    0.0000    -103.0469  0.2985
   00016    0.0000    -114.0944  0.3414
   00017    0.0000    -118.7228  0.2947
   00018    0.0000    -110.3331  0.2815
   00019    0.0000    -103.8423  0.4200
   00020    0.0000    -118.6614  0.3878
   00021    0.0000    -130.1559  0.3942
   00022    0.0000    -114.1907  0.3692
   00023    0.0000    -116.9640  0.3034
   00024    0.0000    -100.9148  0.3021
   00025    0.0000    -128.7241  0.3181
   00026    0.0000    -103.3225  0.2713
   00027    0.0000    -104.3072  0.2748
   00028    0.0000    -105.7147  0.2999
   00029    0.0000    -109.1717  0.3357
   00030    0.0000     -96.2963  0.2821
   00031    0.0000    -127.1951  0.2707
   00032    0.0000     -81.9702  0.3057
   00033    0.0000    -133.6517  0.3337
   00034    0.0000    -115.8032  0.3407
   00035    0.0000    -119.3905  0.3967
   00036    0.0000     -94.3305  0.3280
   00037    0.0000    -115.1921  0.3402
   00038    0.0000    -110.9560  0.3195
   00039    0.0000     -90.0889  0.3113
   00040    0.0000    -120.5997  0.2835
   00041    0.0000    -111.4307  0.3232
   00042    0.0000    -134.3188  0.3086
   00043    0.0000    -101.7462  0.3284
   00044    0.0000     -86.8398  0.2864
   00045    0.0000    -102.3863  0.3166
   00046    0.0000    -109.1960  0.3213
   00047    0.0000    -107.5706  0.3370
   00048    0.0000    -111.6411  0.3265
   00049    0.0000    -109.5907  0.2921
   00050    0.0000    -130.8080  0.2718
   00051    0.0000    -107.6105  0.3041
   00052    0.0000    -101.6042  0.3856
   00053    0.0000    -101.8450  0.3035
   00054    0.0000    -108.5687  0.3425
   00055    0.0000    -124.7176  0.3125
   00056    0.0000    -136.8034  0.3130
   00057    0.0000    -100.6566  0.3183
   00058    0.0000     -91.0459  0.3174
   00059    0.0000     -96.3351  0.3193
   00060    0.0000    -133.9680  0.3361
   00061    0.0000    -122.2888  0.3363
   00062    0.0000    -104.0252  0.3116
   00063    0.0000    -124.9225  0.2561
   00064    0.0000    -104.0104  0.2733
   00065    0.0000    -119.2963  0.3430
   00066    0.0000    -119.9692  0.2682
   00067    0.0000    -116.3701  0.3728
   00068    0.0000    -143.5913  0.3205
   00069    0.0000     -96.8637  0.2959
   00070    0.0000    -118.3021  0.3188
   00071    0.0000    -111.1337  0.2923
   00072    0.0000     -93.6888  0.3445
   00073    0.0000    -101.7200  0.2956
   00074    0.0000    -102.7425  0.3605
   00075    0.0000     -96.7003  0.3089
   00076    0.0000    -141.7799  0.3551
   00077    0.0000    -129.2052  0.3138
   00078    0.0000    -124.9987  0.3741
   00079    0.0000    -114.9978  0.3091
   00080    0.0000    -101.1427  0.3733
   00081    0.0000     -96.4916  0.3321
   00082    0.0000    -110.3111  0.3188
   00083    0.0000    -115.2800  0.3190
   00084    0.0000    -139.5747  0.3922
   00085    0.0000     -95.5046  0.3222
   00086    0.0000     -98.2031  0.3009
   00087    0.0000    -116.0584  0.3292
   00088    0.0000    -122.3305  0.2893
   00089    0.0000    -110.3118  0.3058
   00090    0.0000     -93.3701  0.3106
   00091    0.0000    -115.4904  0.3385
   00092    0.0000     -99.4906  0.3144
   00093    0.0000     -79.7645  0.3235
   00094    0.0000    -126.7393  0.3346
   00095    0.0000     -99.9708  0.3452
   00096    0.0000    -104.7332  0.3152
   00097    0.0000    -115.1309  0.3873
   00098    0.0000    -113.0626  0.3401
   00099    0.0000    -124.3222  0.3584
   00100    0.0000     -90.2688  0.2954
