#=====================================================
# File created:        Mon-16-Feb-2026-at-01-45-33PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.959307
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2441.1374  0.2711 
   00001    0.6832   -3665.6191  0.2659 
   00002    0.6220   -4444.4978  0.2631 
   00003    0.5848   -5023.8875  0.2648 
   00004    0.5616   -5475.5754  0.2724 
   00005    0.5472   -5826.3855  0.2784 
   00006    0.5380   -6179.1339  0.2773 
   00007    0.5024   -6422.1225  0.2735 
   00008    0.4992   -6563.9531  0.2749 
   00009    0.4848   -6723.8062  0.2843 
   00010    0.4776   -6915.1988  0.2845 
   00011    0.4732   -7044.5131  0.2948 
   00012    0.4656   -7194.3003  0.3001 
   00013    0.4788   -7259.5679  0.3033 
   00014    0.4544   -7333.7420  0.3066 
   00015    0.4496   -7429.5859  0.3072 
   00016    0.4548   -7460.4624  0.3025 
   00017    0.4504   -7518.3192  0.2993 
   00018    0.4548   -7542.4131  0.3033 
   00019    0.4456   -7554.2517  0.3036 
   00020    0.4696   -7648.6788  0.3127 
   00021    0.4340   -7608.0478  0.3169 
   00022    0.4460   -7625.9809  0.3122 
   00023    0.4496   -7682.1028  0.3166 
   00024    0.4268   -7711.5609  0.3184 
   00025    0.4308   -7699.5717  0.3186 
   00026    0.4456   -7784.5089  0.3163 
   00027    0.4408   -7814.3735  0.3185 
   00028    0.4400   -7791.6281  0.3216 
   00029    0.4264   -7817.5533  0.3265 
   00030    0.4548   -7816.8050  0.3220 
   00031    0.4284   -7842.8235  0.3147 
   00032    0.4164   -7883.6993  0.3207 
   00033    0.4352   -7882.6659  0.3112 
   00034    0.4504   -7901.4530  0.3014 
   00035    0.4496   -7907.0345  0.2997 
   00036    0.4564   -7893.7257  0.3100 
   00037    0.4424   -7962.9001  0.3108 
   00038    0.4248   -7956.2228  0.3115 
   00039    0.4480   -7969.2472  0.3124 
   00040    0.4240   -7954.4428  0.3152 
   00041    0.4216   -7941.1649  0.3199 
   00042    0.4248   -7930.4897  0.3251 
   00043    0.4164   -7976.6665  0.3259 
   00044    0.4304   -7978.8825  0.3266 
   00045    0.4164   -7974.8641  0.3248 
   00046    0.4212   -8020.7603  0.3262 
   00047    0.4312   -8041.7741  0.3333 
   00048    0.4292   -8077.0077  0.3335 
   00049    0.4500   -8124.2276  0.3481 
   00050    0.4248   -8091.3461  0.3486 
