#=====================================================
# File created:        Mon-16-Feb-2026-at-10-39-54AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.561420
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2568.7759  0.2658 
   00001    0.6776   -3725.7462  0.2785 
   00002    0.6224   -4508.1816  0.2760 
   00003    0.5832   -5089.2455  0.2748 
   00004    0.5524   -5439.3521  0.2744 
   00005    0.5436   -5782.4599  0.2746 
   00006    0.5144   -6047.3109  0.2791 
   00007    0.5196   -6251.6613  0.2709 
   00008    0.5084   -6416.1695  0.2791 
   00009    0.4932   -6625.1980  0.2775 
   00010    0.5000   -6812.5668  0.2816 
   00011    0.4732   -6908.7056  0.2879 
   00012    0.4672   -6988.2258  0.2955 
   00013    0.4628   -7059.1055  0.3043 
   00014    0.4816   -7141.9596  0.3055 
   00015    0.4568   -7192.9207  0.3040 
   00016    0.4720   -7261.2608  0.3057 
   00017    0.4840   -7320.9169  0.3100 
   00018    0.4564   -7402.3581  0.3080 
   00019    0.4476   -7454.8769  0.3116 
   00020    0.4492   -7525.9228  0.3149 
   00021    0.4560   -7563.6649  0.3186 
   00022    0.4420   -7620.7112  0.3258 
   00023    0.4624   -7614.9627  0.3310 
   00024    0.4596   -7612.1341  0.3366 
   00025    0.4380   -7671.3117  0.3311 
   00026    0.4352   -7740.6056  0.3326 
   00027    0.4456   -7787.9096  0.3346 
   00028    0.4296   -7786.6318  0.3418 
   00029    0.4460   -7828.3005  0.3436 
   00030    0.4396   -7898.8578  0.3477 
   00031    0.4536   -7877.0264  0.3481 
   00032    0.4464   -7891.5852  0.3459 
   00033    0.4284   -7882.5790  0.3415 
   00034    0.4364   -7956.5096  0.3414 
   00035    0.4344   -7936.2663  0.3443 
   00036    0.4324   -7942.1713  0.3426 
   00037    0.4324   -7965.9817  0.3427 
   00038    0.4392   -7978.5093  0.3400 
   00039    0.4348   -7993.5891  0.3437 
   00040    0.4436   -8023.5609  0.3454 
   00041    0.4256   -8087.2956  0.3465 
   00042    0.4248   -8097.3679  0.3486 
   00043    0.4188   -8071.5900  0.3502 
   00044    0.4200   -8044.9988  0.3584 
   00045    0.4372   -8056.1791  0.3592 
   00046    0.4380   -8064.7892  0.3559 
   00047    0.4316   -8051.3693  0.3607 
   00048    0.4356   -8097.3759  0.3645 
   00049    0.4372   -8109.0909  0.3652 
   00050    0.4344   -8070.3271  0.3722 
