#=====================================================
# File created:        Mon-16-Feb-2026-at-01-07-59PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.409715
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2455.4520  0.2565 
   00001    0.6920   -3705.7283  0.2665 
   00002    0.6116   -4526.2678  0.2562 
   00003    0.5688   -5053.3780  0.2591 
   00004    0.5504   -5457.2844  0.2637 
   00005    0.5344   -5755.3824  0.2606 
   00006    0.5296   -6083.3935  0.2718 
   00007    0.4996   -6338.7700  0.2854 
   00008    0.5152   -6528.5649  0.2906 
   00009    0.4824   -6707.2132  0.2917 
   00010    0.4788   -6903.3094  0.2832 
   00011    0.4792   -6948.5565  0.2858 
   00012    0.4772   -7055.2942  0.2820 
   00013    0.4736   -7112.5334  0.2780 
   00014    0.4732   -7199.7661  0.2775 
   00015    0.4520   -7282.4064  0.2788 
   00016    0.4664   -7397.3069  0.2778 
   00017    0.4424   -7457.7057  0.2796 
   00018    0.4512   -7537.7007  0.2776 
   00019    0.4524   -7549.1865  0.2782 
   00020    0.4588   -7566.6030  0.2861 
   00021    0.4456   -7642.0230  0.2911 
   00022    0.4544   -7663.9491  0.2891 
   00023    0.4376   -7707.4296  0.2828 
   00024    0.4652   -7762.8027  0.2840 
   00025    0.4560   -7784.9258  0.2854 
   00026    0.4216   -7836.9029  0.2853 
   00027    0.4540   -7798.2377  0.2755 
   00028    0.4256   -7829.2312  0.2784 
   00029    0.4480   -7884.6838  0.2749 
   00030    0.4456   -7903.6094  0.2790 
   00031    0.4304   -7975.0705  0.2755 
   00032    0.4172   -7981.5020  0.2765 
   00033    0.4164   -7991.3360  0.2806 
   00034    0.4324   -7979.1814  0.2789 
   00035    0.4368   -7999.8400  0.2804 
   00036    0.4308   -8003.5837  0.2865 
   00037    0.4272   -8044.7888  0.2817 
   00038    0.4328   -8057.9880  0.2871 
   00039    0.4200   -8046.7429  0.2919 
   00040    0.4240   -8016.0612  0.2838 
   00041    0.4296   -8011.4606  0.2807 
   00042    0.4212   -8041.2663  0.2801 
   00043    0.4352   -8072.2328  0.2774 
   00044    0.4208   -8046.1786  0.2773 
   00045    0.4420   -8052.3086  0.2760 
   00046    0.4356   -8015.7767  0.2857 
   00047    0.4204   -7989.3252  0.2868 
   00048    0.4440   -8041.1717  0.2896 
   00049    0.4164   -8073.8173  0.2871 
   00050    0.4400   -8104.3971  0.2847 
