#=====================================================
# File created:        Sat-14-Feb-2026-at-07-08-22PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.666375
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2352.1855  0.2510 
   00001    0.0152   -2407.0686  0.2501 
   00002    0.0152   -2450.1189  0.2523 
   00003    0.0132   -2478.0861  0.2512 
   00004    0.0152   -2526.3789  0.2494 
   00005    0.0164   -2554.0377  0.2481 
   00006    0.0168   -2595.0693  0.2472 
   00007    0.0156   -2625.6142  0.2485 
   00008    0.0128   -2643.6248  0.2492 
   00009    0.0160   -2671.4853  0.2476 
   00010    0.0152   -2710.6600  0.2479 
   00011    0.0136   -2731.1109  0.2499 
   00012    0.0120   -2752.0266  0.2491 
   00013    0.0152   -2776.2433  0.2494 
   00014    0.0140   -2791.4766  0.2497 
   00015    0.0140   -2818.2274  0.2484 
   00016    0.0132   -2827.5000  0.2479 
   00017    0.0136   -2868.2739  0.2471 
   00018    0.0152   -2900.5945  0.2477 
   00019    0.0140   -2916.6901  0.2487 
   00020    0.0128   -2946.6595  0.2473 
   00021    0.0132   -2974.3311  0.2469 
   00022    0.0136   -2991.8570  0.2470 
   00023    0.0144   -3014.8552  0.2474 
   00024    0.0152   -3050.2850  0.2454 
   00025    0.0128   -3060.0337  0.2451 
   00026    0.0144   -3086.6172  0.2450 
   00027    0.0152   -3098.3417  0.2470 
   00028    0.0144   -3117.1125  0.2465 
   00029    0.0128   -3138.9462  0.2473 
   00030    0.0124   -3149.3673  0.2470 
   00031    0.0148   -3168.8988  0.2469 
   00032    0.0140   -3194.4442  0.2465 
   00033    0.0120   -3224.3364  0.2453 
   00034    0.0152   -3242.5678  0.2443 
   00035    0.0136   -3255.5307  0.2437 
   00036    0.0120   -3268.6670  0.2427 
   00037    0.0128   -3286.3267  0.2438 
   00038    0.0156   -3307.3629  0.2441 
   00039    0.0116   -3329.2112  0.2441 
   00040    0.0140   -3341.7676  0.2451 
   00041    0.0112   -3355.4133  0.2456 
   00042    0.0128   -3379.7125  0.2465 
   00043    0.0136   -3393.6871  0.2456 
   00044    0.0144   -3415.5080  0.2461 
   00045    0.0136   -3435.6313  0.2463 
   00046    0.0132   -3458.2822  0.2480 
   00047    0.0144   -3477.5963  0.2491 
   00048    0.0144   -3521.9417  0.2482 
   00049    0.0132   -3539.6711  0.2477 
   00050    0.0148   -3561.5701  0.2477 
