LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.404, Time: 2.910881 s
         1506055 function calls (1489000 primitive calls) in 5.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    73332    0.051    0.000    0.052    0.000 {built-in method builtins.getattr}
      301    0.005    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
  313/200    0.001    0.000    0.050    0.000 typing.py:392(inner)
        1    0.000    0.000    0.049    0.049 offsetbox.py:1(<module>)
     1427    0.002    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.047    0.047 axis.py:1(<module>)
      100    0.001    0.000    0.047    0.000 pyplot.py:208(_add_pyplot_note)
     1440    0.046    0.000    0.047    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.046    0.046 cm.py:1(<module>)
        2    0.000    0.000    0.046    0.023 __init__.py:707(__getattr__)
      224    0.001    0.000    0.045    0.000 _compiler.py:578(_code)
    63665    0.045    0.000    0.045    0.000 {built-in method builtins.min}
       94    0.002    0.000    0.045    0.000 __init__.py:1450(_preprocess_data)
      301    0.044    0.000    0.044    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.043    0.043 polar.py:1(<module>)
        1    0.000    0.000    0.042    0.042 textpath.py:1(<module>)
      984    0.002    0.000    0.041    0.000 artist.py:1536(is_alias)
        1    0.000    0.000    0.040    0.040 lines.py:1(<module>)
      456    0.001    0.000    0.037    0.000 artist.py:1530(number_of_parameters)
    43/39    0.000    0.000    0.036    0.001 <frozen importlib._bootstrap_external>:1299(exec_module)
    43/39    0.019    0.000    0.036    0.001 {built-in method _imp.exec_dynamic}
 1208/224    0.013    0.000    0.035    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.031    0.031 axis3d.py:1(<module>)
     4409    0.013    0.000    0.031    0.000 artist.py:1549(aliased_name)
        1    0.000    0.000    0.029    0.029 LebwohlLasher.py:33(initdat)
        1    0.000    0.000    0.029    0.029 font_manager.py:1(<module>)
      426    0.002    0.000    0.029    0.000 rcsetup.py:332(validate_color)
       48    0.000    0.000    0.028    0.001 __init__.py:1406(_add_data_doc)
        1    0.000    0.000    0.027    0.027 PngImagePlugin.py:1(<module>)
      429    0.001    0.000    0.026    0.000 colors.py:224(is_color_like)
        1    0.000    0.000    0.026    0.026 quiver.py:1(<module>)
    37820    0.025    0.000    0.025    0.000 {method 'append' of 'list' objects}
      959    0.012    0.000    0.025    0.000 inspect.py:3029(__init__)
        1    0.000    0.000    0.025    0.025 contour.py:1(<module>)
      462    0.001    0.000    0.024    0.000 colors.py:278(to_rgba)
16443/16440    0.018    0.000    0.024    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.024    0.024 colorizer.py:1(<module>)
      229    0.003    0.000    0.024    0.000 typing.py:1269(__init__)
        1    0.001    0.001    0.022    0.022 ExifTags.py:1(<module>)
        1    0.000    0.000    0.022    0.022 common.py:1(<module>)
      186    0.002    0.000    0.021    0.000 colors.py:325(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.021    0.021 common.py:11(pyparsing_common)
        1    0.000    0.000    0.021    0.021 testing.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _char_codes.py:1(<module>)
       50    0.000    0.000    0.021    0.000 typing.py:521(__getitem__)
        1    0.000    0.000    0.021    0.021 texmanager.py:1(<module>)
     7352    0.010    0.000    0.021    0.000 enum.py:720(__call__)
       41    0.002    0.000    0.020    0.000 enum.py:528(__new__)
16889/16855    0.013    0.000    0.020    0.000 {built-in method builtins.hasattr}
3203/2724    0.005    0.000    0.020    0.000 {built-in method __new__ of type object at 0xaada9a619a68}
    32311    0.020    0.000    0.020    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.019    0.019 __init__.py:245(_check_versions)
        1    0.000    0.000    0.019    0.019 hashlib.py:1(<module>)
    10233    0.019    0.000    0.019    0.000 {method 'search' of 're.Pattern' objects}
       19    0.000    0.000    0.019    0.001 rcsetup.py:814(validate_cycler)
       50    0.002    0.000    0.019    0.000 typing.py:753(Literal)
        1    0.002    0.002    0.019    0.019 helpers.py:1(<module>)
       13    0.000    0.000    0.018    0.001 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.018    0.002 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
        3    0.000    0.000    0.017    0.006 patches.py:2293(__init_subclass__)
        6    0.000    0.000    0.017    0.003 patches.py:2335(pprint_styles)
        1    0.000    0.000    0.017    0.017 category.py:1(<module>)
     3209    0.010    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     8527    0.011    0.000    0.017    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.017    0.017 artist.py:1(<module>)
      642    0.005    0.000    0.017    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.017    0.017 table.py:1(<module>)
       46    0.000    0.000    0.016    0.000 core.py:3532(mayReturnEmpty)
    48/27    0.000    0.000    0.016    0.001 functools.py:982(__get__)
    42/21    0.000    0.000    0.016    0.001 core.py:3500(re)
        1    0.000    0.000    0.016    0.016 _array_like.py:1(<module>)
       64    0.002    0.000    0.015    0.000 deprecation.py:414(make_keyword_only)
      479    0.007    0.000    0.015    0.000 enum.py:254(__set_name__)
      698    0.008    0.000    0.015    0.000 functools.py:35(update_wrapper)
      349    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    94/89    0.000    0.000    0.015    0.000 typing.py:515(__getitem__)
    85/30    0.000    0.000    0.014    0.000 typing.py:1294(__getitem__)
      265    0.001    0.000    0.014    0.000 overrides.py:144(decorator)
        1    0.000    0.000    0.014    0.014 _secondary_axes.py:1(<module>)
       89    0.001    0.000    0.014    0.000 typing.py:694(Union)
       51    0.010    0.000    0.014    0.000 _linalg.py:1383(eig)
      583    0.005    0.000    0.014    0.000 enum.py:390(__setitem__)
       64    0.000    0.000    0.014    0.000 core.py:1610(__add__)
      363    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap>:416(__enter__)
      456    0.014    0.000    0.014    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.014    0.014 pathlib.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _parser.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _machar.py:1(<module>)
       65    0.001    0.000    0.013    0.000 core.py:4495(__init__)
      602    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        1    0.000    0.000    0.013    0.013 fractions.py:1(<module>)
        2    0.000    0.000    0.013    0.006 version.py:1(<module>)
     6459    0.008    0.000    0.013    0.000 _parser.py:261(get)
     2703    0.007    0.000    0.013    0.000 cbook.py:468(_strip_comment)
        1    0.000    0.000    0.012    0.012 mathtext.py:1(<module>)
       33    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1648(_fill_cache)
        7    0.000    0.000    0.012    0.002 __init__.py:73(import_module)
        7    0.000    0.000    0.012    0.002 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.012    0.012 _dtype_like.py:1(<module>)
       33    0.012    0.000    0.012    0.000 {built-in method posix.listdir}
      113    0.001    0.000    0.012    0.000 rcsetup.py:99(f)
      233    0.006    0.000    0.012    0.000 typing.py:262(_collect_parameters)
        1    0.000    0.000    0.011    0.011 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.011    0.011 legend.py:1(<module>)
       12    0.000    0.000    0.011    0.001 core.py:1274(parse_string)
        1    0.000    0.000    0.011    0.011 _pickle.py:1(<module>)
      279    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        8    0.000    0.000    0.011    0.001 core.py:6454(__init__)
       63    0.003    0.000    0.011    0.000 {built-in method builtins.eval}
     28/7    0.000    0.000    0.011    0.002 core.py:5163(leave_whitespace)
     9213    0.011    0.000    0.011    0.000 {method 'split' of 'str' objects}
        3    0.000    0.000    0.011    0.004 exceptions.py:1(<module>)
        1    0.000    0.000    0.011    0.011 socket.py:1(<module>)
        7    0.001    0.000    0.010    0.001 enum.py:918(_convert_)
        1    0.000    0.000    0.010    0.010 scale.py:1(<module>)
      146    0.000    0.000    0.010    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.010    0.010 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.010    0.010 _mathtext.py:1(<module>)
      445    0.001    0.000    0.010    0.000 core.py:575(copy)
        1    0.000    0.000    0.010    0.010 _fontconfig_pattern.py:55(_make_fontconfig_parser)
      261    0.001    0.000    0.010    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
       39    0.001    0.000    0.010    0.000 colors.py:1081(from_list)
      141    0.000    0.000    0.009    0.000 core.py:4523(<genexpr>)
        1    0.000    0.000    0.009    0.009 _tricontour.py:1(<module>)
      645    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.009    0.009 subprocess.py:1(<module>)
      445    0.003    0.000    0.009    0.000 copy.py:61(copy)
    11969    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
       24    0.003    0.000    0.009    0.000 util.py:242(_collapse_string_to_ranges)
     59/7    0.000    0.000    0.009    0.001 core.py:4325(leave_whitespace)
        1    0.000    0.000    0.009    0.009 shutil.py:1(<module>)
      220    0.001    0.000    0.009    0.000 {built-in method builtins.any}
      224    0.002    0.000    0.009    0.000 _compiler.py:516(_compile_info)
    85/30    0.000    0.000    0.008    0.000 typing.py:1326(_determine_new_args)
      344    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
   129/61    0.001    0.000    0.008    0.000 core.py:4422(copy)
     1248    0.002    0.000    0.008    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.008    0.008 _npyio_impl.py:1(<module>)
    85/30    0.001    0.000    0.008    0.000 typing.py:1355(_make_substitution)
      451    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     4584    0.005    0.000    0.008    0.000 {built-in method builtins.sorted}
      457    0.003    0.000    0.008    0.000 typing.py:175(_type_check)
       15    0.000    0.000    0.008    0.001 core.py:1770(__or__)
       15    0.000    0.000    0.008    0.001 core.py:4838(__init__)
   306/12    0.001    0.000    0.008    0.001 core.py:916(_parseNoCache)
        1    0.000    0.000    0.008    0.008 einsumfunc.py:1(<module>)
       64    0.000    0.000    0.008    0.000 util.py:450(replaced_by_pep8)
    72/12    0.000    0.000    0.008    0.001 core.py:4605(parseImpl)
      485    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.008    0.008 spines.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _methods.py:1(<module>)
        7    0.000    0.000    0.008    0.001 core.py:3167(__init__)
       19    0.000    0.000    0.008    0.000 rcsetup.py:677(cycler)
        1    0.000    0.000    0.008    0.008 colorbar.py:1(<module>)
        1    0.000    0.000    0.007    0.007 axes3d.py:41(Axes3D)
        1    0.000    0.000    0.007    0.007 version.py:310(Version)
        1    0.000    0.000    0.007    0.007 ticker.py:1(<module>)
      410    0.007    0.000    0.007    0.000 {built-in method _io.open_code}
