#=====================================================
# File created:        Mon-16-Feb-2026-at-01-58-09PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        5.502456
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2637.8810  0.2520 
   00001    0.6700   -3778.2100  0.2679 
   00002    0.6304   -4557.8312  0.2697 
   00003    0.5732   -5121.0335  0.2752 
   00004    0.5388   -5510.6369  0.2774 
   00005    0.5316   -5899.2356  0.2728 
   00006    0.5308   -6113.1087  0.2779 
   00007    0.5056   -6327.4554  0.2849 
   00008    0.5036   -6509.8250  0.2946 
   00009    0.4904   -6720.5975  0.2979 
   00010    0.4676   -6880.6735  0.3049 
   00011    0.4616   -6998.1005  0.3089 
   00012    0.4884   -7109.7110  0.3108 
   00013    0.4640   -7205.9808  0.3227 
   00014    0.4684   -7305.7904  0.3261 
   00015    0.4480   -7387.9224  0.3317 
   00016    0.4448   -7481.7516  0.3338 
   00017    0.4468   -7528.8081  0.3338 
   00018    0.4628   -7586.1353  0.3268 
   00019    0.4404   -7660.1554  0.3347 
   00020    0.4260   -7684.3891  0.3358 
   00021    0.4624   -7690.1174  0.3379 
   00022    0.4448   -7734.0557  0.3444 
   00023    0.4460   -7810.5356  0.3448 
   00024    0.4372   -7812.5907  0.3461 
   00025    0.4420   -7869.7805  0.3503 
   00026    0.4432   -7866.6967  0.3565 
   00027    0.4244   -7902.4628  0.3656 
   00028    0.4248   -7945.4280  0.3715 
   00029    0.4312   -7984.1814  0.3763 
   00030    0.4452   -7994.5740  0.3794 
   00031    0.4260   -7984.2901  0.3813 
   00032    0.4432   -8008.5934  0.3795 
   00033    0.4288   -8031.2834  0.3866 
   00034    0.4168   -8045.1794  0.3842 
   00035    0.4288   -8087.3040  0.3867 
   00036    0.4216   -8067.7735  0.3893 
   00037    0.4276   -8117.9940  0.3844 
   00038    0.4260   -8080.5277  0.3773 
   00039    0.4188   -8127.0712  0.3821 
   00040    0.4176   -8173.3422  0.3857 
   00041    0.4372   -8213.0009  0.3868 
   00042    0.4280   -8213.0314  0.3848 
   00043    0.4296   -8146.9972  0.3868 
   00044    0.4304   -8178.4393  0.3892 
   00045    0.4056   -8250.1842  0.3917 
   00046    0.4084   -8263.8152  0.3964 
   00047    0.4104   -8242.7028  0.3952 
   00048    0.4220   -8238.7568  0.3952 
   00049    0.4264   -8196.3631  0.3973 
   00050    0.4336   -8151.5832  0.3987 
