LebwohlLasher2.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.357, Time: 9.907009 s
         1534821 function calls (1517766 primitive calls) in 10.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      456    0.003    0.000    0.085    0.000 artist.py:1530(number_of_parameters)
        1    0.000    0.000    0.084    0.084 axis.py:1(<module>)
    43/41    0.000    0.000    0.083    0.002 <frozen importlib._bootstrap_external>:1291(create_module)
      301    0.083    0.000    0.083    0.000 {built-in method marshal.loads}
  313/200    0.001    0.000    0.083    0.000 typing.py:392(inner)
    43/41    0.060    0.001    0.083    0.002 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.082    0.082 geo.py:1(<module>)
        1    0.000    0.000    0.081    0.081 offsetbox.py:1(<module>)
        1    0.000    0.000    0.078    0.078 lines.py:1(<module>)
        1    0.000    0.000    0.077    0.077 cm.py:1(<module>)
        3    0.000    0.000    0.077    0.026 patches.py:2293(__init_subclass__)
 1208/224    0.030    0.000    0.077    0.000 _compiler.py:37(_compile)
        6    0.001    0.000    0.076    0.013 patches.py:2335(pprint_styles)
        1    0.000    0.000    0.072    0.072 multiarray.py:1(<module>)
      200    0.001    0.000    0.071    0.000 pyplot.py:175(_copy_docstring_and_deprecators)
     4409    0.032    0.000    0.070    0.000 artist.py:1549(aliased_name)
    28803    0.069    0.000    0.069    0.000 {built-in method numpy.arange}
       94    0.003    0.000    0.069    0.001 __init__.py:1450(_preprocess_data)
        1    0.001    0.001    0.068    0.068 textpath.py:1(<module>)
      426    0.004    0.000    0.067    0.000 rcsetup.py:332(validate_color)
        1    0.000    0.000    0.065    0.065 contour.py:1(<module>)
      959    0.031    0.000    0.061    0.000 inspect.py:3029(__init__)
      429    0.002    0.000    0.061    0.000 colors.py:224(is_color_like)
        1    0.000    0.000    0.060    0.060 polar.py:1(<module>)
16443/16440    0.042    0.000    0.057    0.000 {method 'join' of 'str' objects}
      100    0.001    0.000    0.057    0.001 pyplot.py:208(_add_pyplot_note)
      462    0.003    0.000    0.057    0.000 colors.py:278(to_rgba)
       13    0.000    0.000    0.055    0.004 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.055    0.005 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
        2    0.000    0.000    0.054    0.027 __init__.py:707(__getattr__)
    37820    0.052    0.000    0.052    0.000 {method 'append' of 'list' objects}
     7352    0.027    0.000    0.052    0.000 enum.py:720(__call__)
      186    0.003    0.000    0.050    0.000 colors.py:325(_to_rgba_no_colorcycle)
