#=====================================================
# File created:        Sat-14-Feb-2026-at-03-38-14PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.910881
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2504.5533  0.2539 
   00001    0.6684   -3776.3934  0.2547 
   00002    0.6036   -4558.5997  0.2634 
   00003    0.5696   -5161.6576  0.2723 
   00004    0.5776   -5595.3901  0.2746 
   00005    0.5344   -5932.8769  0.2800 
   00006    0.5172   -6184.3582  0.2839 
   00007    0.4880   -6429.6032  0.2974 
   00008    0.4908   -6628.4158  0.2918 
   00009    0.5036   -6757.5961  0.2982 
   00010    0.4892   -6876.1641  0.2957 
   00011    0.4792   -7011.5565  0.3119 
   00012    0.4680   -7104.5430  0.3177 
   00013    0.4672   -7139.3923  0.3204 
   00014    0.4588   -7198.6796  0.3301 
   00015    0.4636   -7241.2786  0.3373 
   00016    0.4752   -7326.0181  0.3443 
   00017    0.4728   -7413.7689  0.3497 
   00018    0.4612   -7503.3390  0.3550 
   00019    0.4496   -7500.1877  0.3555 
   00020    0.4560   -7529.3046  0.3563 
   00021    0.4464   -7592.4177  0.3535 
   00022    0.4380   -7611.9160  0.3506 
   00023    0.4568   -7659.2097  0.3597 
   00024    0.4460   -7709.5915  0.3673 
   00025    0.4488   -7730.7424  0.3706 
   00026    0.4424   -7791.4645  0.3776 
   00027    0.4308   -7813.6758  0.3747 
   00028    0.4404   -7776.7110  0.3767 
   00029    0.4488   -7767.2401  0.3742 
   00030    0.4528   -7814.8660  0.3752 
   00031    0.4540   -7820.7628  0.3731 
   00032    0.4288   -7828.9827  0.3774 
   00033    0.4352   -7829.3404  0.3827 
   00034    0.4328   -7868.7955  0.3777 
   00035    0.4492   -7884.8054  0.3781 
   00036    0.4376   -7888.2979  0.3772 
   00037    0.4372   -7938.9689  0.3733 
   00038    0.4260   -7992.7144  0.3743 
   00039    0.4228   -8011.6802  0.3837 
   00040    0.4152   -8039.9782  0.3890 
   00041    0.4380   -8092.4611  0.3874 
   00042    0.4360   -8094.2308  0.3875 
   00043    0.4220   -8091.9423  0.3823 
   00044    0.4036   -8103.7245  0.3827 
   00045    0.4108   -8105.3567  0.3872 
   00046    0.4348   -8154.6589  0.3943 
   00047    0.4168   -8146.0967  0.4004 
   00048    0.4132   -8122.4315  0.3991 
   00049    0.4244   -8115.8926  0.4040 
   00050    0.4436   -8099.9345  0.4047 
