#=====================================================
# File created:        Mon-16-Feb-2026-at-01-07-31PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        4.812907
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2564.3117  0.2541 
   00001    0.6760   -3760.6590  0.2557 
   00002    0.6324   -4550.4679  0.2669 
   00003    0.5860   -5074.6817  0.2647 
   00004    0.5588   -5470.9647  0.2590 
   00005    0.5444   -5795.5174  0.2675 
   00006    0.5312   -6033.0166  0.2678 
   00007    0.5124   -6258.9223  0.2747 
   00008    0.4900   -6469.5469  0.2749 
   00009    0.4772   -6643.3827  0.2812 
   00010    0.4736   -6766.6048  0.2883 
   00011    0.4712   -6887.8390  0.2877 
   00012    0.4612   -7057.7291  0.2884 
   00013    0.4676   -7146.8731  0.2950 
   00014    0.4728   -7309.0571  0.2883 
   00015    0.4768   -7363.3144  0.2889 
   00016    0.4612   -7457.3284  0.2888 
   00017    0.4552   -7513.0442  0.2851 
   00018    0.4612   -7502.8754  0.2847 
   00019    0.4524   -7584.8332  0.2875 
   00020    0.4412   -7620.7023  0.2882 
   00021    0.4376   -7651.6925  0.2910 
   00022    0.4208   -7646.8892  0.2947 
   00023    0.4432   -7717.0307  0.3000 
   00024    0.4432   -7743.0076  0.2998 
   00025    0.4520   -7787.9233  0.2966 
   00026    0.4404   -7772.9404  0.3004 
   00027    0.4408   -7801.9673  0.3037 
   00028    0.4396   -7851.8465  0.2982 
   00029    0.4564   -7878.7144  0.3029 
   00030    0.4376   -7860.6157  0.2982 
   00031    0.4336   -7832.4810  0.2984 
   00032    0.4516   -7843.3218  0.2982 
   00033    0.4568   -7837.7379  0.2981 
   00034    0.4436   -7901.2344  0.2984 
   00035    0.4308   -7934.1674  0.2972 
   00036    0.4452   -7974.3206  0.2965 
   00037    0.4104   -7980.4114  0.3013 
   00038    0.4308   -7993.2681  0.3007 
   00039    0.4236   -7968.8891  0.2998 
   00040    0.4304   -7991.1072  0.2968 
   00041    0.4420   -7966.0997  0.2970 
   00042    0.4380   -7959.5200  0.2975 
   00043    0.4200   -7947.6813  0.2992 
   00044    0.4348   -8019.1798  0.3040 
   00045    0.4368   -8054.7405  0.3042 
   00046    0.4220   -8101.1797  0.3080 
   00047    0.4052   -8125.8861  0.3114 
   00048    0.4268   -8131.3153  0.3048 
   00049    0.4156   -8127.2712  0.3127 
   00050    0.4260   -8128.5405  0.3152 
