#=====================================================
# File created:        Sat-14-Feb-2026-at-04-12-40PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.684380
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2534.3729  0.2557 
   00001    0.0120   -2550.5185  0.2549 
   00002    0.0156   -2567.6716  0.2543 
   00003    0.0124   -2583.9236  0.2558 
   00004    0.0152   -2614.2135  0.2550 
   00005    0.0136   -2654.6786  0.2546 
   00006    0.0140   -2679.1041  0.2551 
   00007    0.0144   -2695.7356  0.2565 
   00008    0.0120   -2724.5197  0.2568 
   00009    0.0152   -2764.3620  0.2591 
   00010    0.0148   -2785.2423  0.2577 
   00011    0.0148   -2816.7037  0.2548 
   00012    0.0116   -2845.5447  0.2549 
   00013    0.0132   -2871.6904  0.2549 
   00014    0.0152   -2889.3332  0.2559 
   00015    0.0156   -2924.2861  0.2551 
   00016    0.0140   -2942.6103  0.2554 
   00017    0.0156   -2971.9134  0.2557 
   00018    0.0168   -3000.5232  0.2540 
   00019    0.0140   -3010.3512  0.2567 
   00020    0.0152   -3018.4124  0.2536 
   00021    0.0132   -3049.2114  0.2535 
   00022    0.0124   -3058.5054  0.2531 
   00023    0.0140   -3090.4766  0.2535 
   00024    0.0132   -3102.1017  0.2536 
   00025    0.0144   -3119.8684  0.2524 
   00026    0.0132   -3142.1878  0.2537 
   00027    0.0124   -3164.2624  0.2548 
   00028    0.0132   -3181.9447  0.2539 
   00029    0.0148   -3210.9027  0.2542 
   00030    0.0156   -3240.0721  0.2546 
   00031    0.0128   -3253.4777  0.2545 
   00032    0.0136   -3269.5237  0.2548 
   00033    0.0132   -3291.9806  0.2547 
   00034    0.0124   -3318.5348  0.2567 
   00035    0.0152   -3336.0568  0.2576 
   00036    0.0116   -3364.6919  0.2571 
   00037    0.0136   -3393.2172  0.2580 
   00038    0.0132   -3409.6613  0.2581 
   00039    0.0124   -3430.3382  0.2581 
   00040    0.0140   -3437.4754  0.2568 
   00041    0.0140   -3465.1036  0.2558 
   00042    0.0144   -3495.4164  0.2553 
   00043    0.0124   -3501.1255  0.2554 
   00044    0.0144   -3529.4572  0.2544 
   00045    0.0128   -3556.4449  0.2552 
   00046    0.0128   -3585.9434  0.2544 
   00047    0.0112   -3600.4614  0.2536 
   00048    0.0128   -3619.1596  0.2536 
   00049    0.0132   -3637.5290  0.2528 
   00050    0.0112   -3660.9007  0.2509 
