#=====================================================
# File created:        Sat-14-Feb-2026-at-04-19-09PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.680490
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2460.2055  0.2426 
   00001    0.0152   -2476.7755  0.2428 
   00002    0.0148   -2502.3907  0.2439 
   00003    0.0136   -2534.9239  0.2432 
   00004    0.0152   -2581.7681  0.2430 
   00005    0.0144   -2619.0504  0.2414 
   00006    0.0148   -2669.7800  0.2421 
   00007    0.0120   -2702.1661  0.2410 
   00008    0.0168   -2741.2415  0.2396 
   00009    0.0124   -2766.5866  0.2388 
   00010    0.0136   -2795.2380  0.2392 
   00011    0.0156   -2843.0836  0.2409 
   00012    0.0140   -2881.4371  0.2406 
   00013    0.0120   -2909.2968  0.2422 
   00014    0.0136   -2938.4981  0.2441 
   00015    0.0124   -2953.2283  0.2449 
   00016    0.0128   -2974.3301  0.2446 
   00017    0.0124   -3007.7454  0.2459 
   00018    0.0124   -3020.0829  0.2462 
   00019    0.0124   -3049.8651  0.2435 
   00020    0.0152   -3078.4367  0.2438 
   00021    0.0116   -3094.6442  0.2443 
   00022    0.0144   -3127.9375  0.2428 
   00023    0.0144   -3148.0218  0.2427 
   00024    0.0144   -3179.8476  0.2426 
   00025    0.0140   -3216.0835  0.2421 
   00026    0.0144   -3238.9039  0.2418 
   00027    0.0148   -3258.0648  0.2430 
   00028    0.0148   -3290.9066  0.2442 
   00029    0.0136   -3319.9534  0.2440 
   00030    0.0144   -3350.2311  0.2432 
   00031    0.0140   -3377.8360  0.2445 
   00032    0.0128   -3407.4020  0.2448 
   00033    0.0136   -3424.2037  0.2451 
   00034    0.0132   -3442.8580  0.2442 
   00035    0.0128   -3457.6509  0.2449 
   00036    0.0128   -3491.6188  0.2442 
   00037    0.0144   -3517.6377  0.2445 
   00038    0.0148   -3534.5147  0.2462 
   00039    0.0108   -3551.9052  0.2454 
   00040    0.0144   -3570.0133  0.2447 
   00041    0.0128   -3602.7716  0.2456 
   00042    0.0132   -3627.4450  0.2456 
   00043    0.0140   -3655.4095  0.2444 
   00044    0.0120   -3681.3422  0.2425 
   00045    0.0108   -3703.8241  0.2414 
   00046    0.0132   -3732.9452  0.2421 
   00047    0.0104   -3758.1825  0.2438 
   00048    0.0100   -3763.7837  0.2429 
   00049    0.0156   -3792.2257  0.2423 
   00050    0.0128   -3811.1534  0.2420 
