#=====================================================
# File created:        Tue-24-Feb-2026-at-07-00-43PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.652181
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2480.0997  0.2388 
   00001    0.0136   -2516.6402  0.2397 
   00002    0.0148   -2565.1277  0.2403 
   00003    0.0124   -2591.9482  0.2387 
   00004    0.0148   -2648.2449  0.2388 
   00005    0.0148   -2661.9994  0.2392 
   00006    0.0152   -2694.2482  0.2402 
   00007    0.0144   -2741.0660  0.2400 
   00008    0.0124   -2767.3554  0.2413 
   00009    0.0136   -2791.1346  0.2410 
   00010    0.0140   -2814.9751  0.2420 
   00011    0.0116   -2847.3177  0.2440 
   00012    0.0152   -2863.8646  0.2417 
   00013    0.0128   -2890.8067  0.2412 
   00014    0.0168   -2919.1735  0.2395 
   00015    0.0156   -2945.9567  0.2422 
   00016    0.0140   -2977.0098  0.2431 
   00017    0.0144   -3002.6583  0.2438 
   00018    0.0136   -3022.3020  0.2418 
   00019    0.0132   -3044.6066  0.2420 
   00020    0.0140   -3069.4741  0.2422 
   00021    0.0128   -3121.7257  0.2411 
   00022    0.0116   -3143.1650  0.2395 
   00023    0.0116   -3164.7667  0.2391 
   00024    0.0132   -3196.3662  0.2382 
   00025    0.0140   -3235.1826  0.2370 
   00026    0.0132   -3263.8866  0.2367 
   00027    0.0144   -3284.0823  0.2375 
   00028    0.0128   -3299.1356  0.2368 
   00029    0.0140   -3316.7874  0.2365 
   00030    0.0124   -3329.7343  0.2367 
   00031    0.0156   -3344.5470  0.2370 
   00032    0.0128   -3360.8000  0.2385 
   00033    0.0132   -3382.2276  0.2400 
   00034    0.0120   -3436.1364  0.2380 
   00035    0.0144   -3460.9905  0.2382 
   00036    0.0144   -3479.6057  0.2392 
   00037    0.0124   -3502.9786  0.2391 
   00038    0.0136   -3537.5649  0.2414 
   00039    0.0128   -3555.8905  0.2428 
   00040    0.0128   -3576.0511  0.2446 
   00041    0.0148   -3587.8991  0.2444 
   00042    0.0136   -3607.2400  0.2452 
   00043    0.0100   -3618.0025  0.2457 
   00044    0.0120   -3644.5400  0.2456 
   00045    0.0152   -3685.7886  0.2471 
   00046    0.0128   -3703.0298  0.2480 
   00047    0.0136   -3728.8696  0.2485 
   00048    0.0148   -3761.4144  0.2481 
   00049    0.0120   -3790.8029  0.2487 
   00050    0.0136   -3815.6971  0.2483 
