#=====================================================
# File created:        Tue-24-Feb-2026-at-07-06-06PM
# Size of lattice:     50x50
# Number of MC steps:  20
# Reduced temperature: 0.650
# Run time (s):        0.260188
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2526.5102  0.2474 
   00001    0.0132   -2575.9932  0.2467 
   00002    0.0168   -2619.1207  0.2467 
   00003    0.0152   -2671.7864  0.2466 
   00004    0.0136   -2694.4266  0.2475 
   00005    0.0132   -2713.5755  0.2475 
   00006    0.0120   -2722.9425  0.2470 
   00007    0.0136   -2747.1479  0.2432 
   00008    0.0156   -2776.7716  0.2426 
   00009    0.0148   -2805.8357  0.2433 
   00010    0.0140   -2841.5888  0.2436 
   00011    0.0144   -2867.7671  0.2438 
   00012    0.0132   -2887.7283  0.2444 
   00013    0.0144   -2909.2012  0.2444 
   00014    0.0160   -2955.8681  0.2449 
   00015    0.0136   -2991.2993  0.2435 
   00016    0.0128   -3011.2638  0.2448 
   00017    0.0160   -3047.0387  0.2434 
   00018    0.0132   -3078.7121  0.2433 
   00019    0.0152   -3123.7419  0.2429 
   00020    0.0136   -3147.0490  0.2428 
