#=====================================================
# File created:        Tue-24-Feb-2026-at-07-05-52PM
# Size of lattice:     50x50
# Number of MC steps:  20
# Reduced temperature: 0.650
# Run time (s):        0.258530
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2498.7801  0.2642 
   00001    0.0140   -2558.5021  0.2653 
   00002    0.0152   -2607.3551  0.2644 
   00003    0.0148   -2636.7219  0.2631 
   00004    0.0128   -2656.8662  0.2625 
   00005    0.0124   -2684.1345  0.2619 
   00006    0.0160   -2757.0990  0.2591 
   00007    0.0152   -2796.1178  0.2599 
   00008    0.0152   -2830.9241  0.2579 
   00009    0.0148   -2883.9814  0.2572 
   00010    0.0144   -2915.2440  0.2574 
   00011    0.0140   -2938.5014  0.2584 
   00012    0.0144   -2966.3441  0.2587 
   00013    0.0136   -2984.4093  0.2578 
   00014    0.0104   -3005.5305  0.2587 
   00015    0.0120   -3026.8361  0.2569 
   00016    0.0112   -3040.2634  0.2570 
   00017    0.0160   -3086.8831  0.2554 
   00018    0.0120   -3104.2631  0.2548 
   00019    0.0152   -3128.4778  0.2558 
   00020    0.0156   -3152.8116  0.2578 
