#=====================================================
# File created:        Tue-24-Feb-2026-at-07-07-19PM
# Size of lattice:     50x50
# Number of MC steps:  20
# Reduced temperature: 0.700
# Run time (s):        0.254438
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2605.4586  0.2425 
   00001    0.0156   -2640.4310  0.2421 
   00002    0.0128   -2682.1907  0.2406 
   00003    0.0144   -2701.4445  0.2405 
   00004    0.0156   -2732.5801  0.2408 
   00005    0.0164   -2766.3477  0.2434 
   00006    0.0112   -2777.0497  0.2446 
   00007    0.0136   -2819.3465  0.2446 
   00008    0.0140   -2859.0602  0.2440 
   00009    0.0156   -2891.8447  0.2421 
   00010    0.0144   -2913.8966  0.2424 
   00011    0.0148   -2939.5049  0.2407 
   00012    0.0108   -2961.1121  0.2398 
   00013    0.0116   -2986.4624  0.2387 
   00014    0.0136   -2997.5360  0.2371 
   00015    0.0140   -3018.8972  0.2358 
   00016    0.0136   -3055.2275  0.2351 
   00017    0.0120   -3069.9444  0.2377 
   00018    0.0140   -3120.6573  0.2390 
   00019    0.0136   -3146.5517  0.2390 
   00020    0.0160   -3157.0461  0.2402 
