run_Cython_1.py: Size: 50, Steps: 10, T*: 0.500: Order: 0.253, Time: 0.129703 s
         1710736 function calls (1679355 primitive calls) in 3.097 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.099    0.099 _fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.099    0.099 pyi_generator.py:1(<module>)
        1    0.000    0.000    0.098    0.098 pyi_generator.py:87(Formatter)
      646    0.008    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        1    0.001    0.001    0.096    0.096 backend_qt.py:1(<module>)
        2    0.000    0.000    0.092    0.046 backend_qt.py:660(show)
        2    0.077    0.038    0.092    0.046 {method 'show' of 'PySide6.QtWidgets.QWidget' objects}
     3354    0.041    0.000    0.091    0.000 enum.py:254(__set_name__)
       36    0.000    0.000    0.091    0.003 axis.py:1585(_get_tick)
       31    0.008    0.000    0.086    0.003 __init__.py:887(_rc_params_in_file)
     3797    0.027    0.000    0.086    0.000 enum.py:390(__setitem__)
       14    0.000    0.000    0.084    0.006 _docstring.py:73(__missing__)
   114306    0.072    0.000    0.082    0.000 {built-in method builtins.isinstance}
      229    0.001    0.000    0.081    0.000 _compiler.py:578(_code)
        1    0.000    0.000    0.081    0.081 _axes.py:67(Axes)
        3    0.001    0.000    0.078    0.026 core.py:1(<module>)
 2358/229    0.025    0.000    0.072    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.071    0.071 art3d.py:1(<module>)
      728    0.001    0.000    0.070    0.000 inspect.py:3346(signature)
      317    0.003    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1066(get_code)
     1533    0.002    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      728    0.001    0.000    0.069    0.000 inspect.py:3081(from_callable)
     1628    0.068    0.000    0.069    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.068    0.068 layout.py:1(<module>)
  862/728    0.006    0.000    0.068    0.000 inspect.py:2501(_signature_from_callable)
       36    0.001    0.000    0.066    0.002 axis.py:59(__init__)
  384/377    0.001    0.000    0.066    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.065    0.065 parser.py:1(<module>)
   100760    0.065    0.000    0.065    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.064    0.064 parser.py:116(__init__)
        1    0.000    0.000    0.063    0.063 colors.py:1(<module>)
       46    0.001    0.000    0.060    0.001 backend_qt.py:344(mouseMoveEvent)
    84219    0.056    0.000    0.060    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.060    0.060 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.059    0.059 _index_tricks_impl.py:1(<module>)
      982    0.002    0.000    0.057    0.000 __init__.py:751(__setitem__)
    89210    0.056    0.000    0.056    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.055    0.055 geo.py:1(<module>)
        1    0.000    0.000    0.054    0.054 defmatrix.py:1(<module>)
        2    0.000    0.000    0.054    0.027 figure.py:785(subplots)
        2    0.000    0.000    0.054    0.027 gridspec.py:249(subplots)
        2    0.000    0.000    0.054    0.027 figure.py:644(add_subplot)
        2    0.000    0.000    0.054    0.027 _base.py:615(__init__)
      200    0.001    0.000    0.053    0.000 pyplot.py:175(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.053    0.053 _linalg.py:1(<module>)
