run_Cython_1.py: Size: 50, Steps: 20, T*: 0.650: Order: 0.256, Time: 0.258530 s
         1724662 function calls (1692988 primitive calls) in 3.186 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.002    0.000    2.682    0.062 __init__.py:1(<module>)
     39/2    0.000    0.000    2.639    1.320 text.py:926(get_window_extent)
     63/2    0.004    0.000    2.639    1.319 text.py:358(_get_layout)
    403/4    0.003    0.000    2.179    0.545 <frozen importlib._bootstrap>:1349(_find_and_load)
    400/4    0.002    0.000    2.178    0.545 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    384/4    0.002    0.000    2.177    0.544 <frozen importlib._bootstrap>:911(_load_unlocked)
    922/9    0.001    0.000    2.176    0.242 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    317/7    0.001    0.000    2.170    0.310 <frozen importlib._bootstrap_external>:993(exec_module)
    49/11    0.000    0.000    2.042    0.186 <frozen importlib._bootstrap_external>:1299(exec_module)
    49/11    0.008    0.000    2.041    0.186 {built-in method _imp.exec_dynamic}
   432/21    0.001    0.000    1.897    0.090 {built-in method builtins.__import__}
   406/84    0.002    0.000    1.739    0.021 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    1.210    1.210 pyplot.py:1(<module>)
1233/1143    0.014    0.000    1.124    0.001 {built-in method builtins.__build_class__}
      106    0.005    0.000    0.802    0.008 artist.py:158(_update_set_signature_and_docstring)
      105    0.001    0.000    0.789    0.008 artist.py:125(__init_subclass__)
        1    0.000    0.000    0.650    0.650 figure.py:1(<module>)
      120    0.001    0.000    0.635    0.005 artist.py:1832(kwdoc)
        2    0.000    0.000    0.571    0.286 pyplot.py:1621(subplots)
      120    0.010    0.000    0.535    0.004 artist.py:1593(pprint_setters)
        2    0.000    0.000    0.514    0.257 pyplot.py:871(figure)
        2    0.000    0.000    0.514    0.257 pyplot.py:548(new_figure_manager)
        1    0.000    0.000    0.460    0.460 image.py:1(<module>)
     4409    0.028    0.000    0.440    0.000 artist.py:1461(get_valid_values)
     7555    0.217    0.000    0.426    0.000 inspect.py:882(cleandoc)
        1    0.000    0.000    0.426    0.426 backend_bases.py:1(<module>)
        9    0.000    0.000    0.400    0.044 __init__.py:73(import_module)
        9    0.000    0.000    0.400    0.044 <frozen importlib._bootstrap>:1375(_gcd_import)
        4    0.000    0.000    0.385    0.096 pyplot.py:525(_warn_if_gui_out_of_main_thread)
       10    0.000    0.000    0.385    0.039 pyplot.py:358(_get_backend_mod)
      3/1    0.000    0.000    0.385    0.385 pyplot.py:372(switch_backend)
        2    0.000    0.000    0.383    0.192 registry.py:302(load_backend_module)
        1    0.000    0.000    0.382    0.382 backend_qtagg.py:1(<module>)
     7512    0.015    0.000    0.349    0.000 inspect.py:863(getdoc)
    136/5    0.001    0.000    0.330    0.066 text.py:65(_get_text_metrics_with_cache)
      6/3    0.000    0.000    0.328    0.109 text.py:73(_get_text_metrics_with_cache_impl)
     7020    0.013    0.000    0.315    0.000 __init__.py:280(_compile)
      229    0.002    0.000    0.289    0.001 _compiler.py:745(compile)
        1    0.000    0.000    0.274    0.274 qt_compat.py:1(<module>)
        2    0.000    0.000    0.273    0.136 qt_compat.py:66(_setup_pyqt5plus)
        1    0.000    0.000    0.266    0.266 text.py:1(<module>)
      6/3    0.237    0.040    0.248    0.083 backend_agg.py:206(get_text_width_height_descent)
      227    0.001    0.000    0.224    0.001 artist.py:1413(__init__)
       76    0.000    0.000    0.223    0.003 __init__.py:226(compile)
      227    0.076    0.000    0.222    0.001 artist.py:1433(get_aliases)
        1    0.000    0.000    0.220    0.220 _axes.py:1(<module>)
     8498    0.012    0.000    0.211    0.000 enum.py:720(__call__)
      229    0.001    0.000    0.200    0.001 _parser.py:969(parse)
  708/229    0.006    0.000    0.198    0.001 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.197    0.197 __init__.py:41(_setupQtDirectories)
 1292/253    0.046    0.000    0.195    0.001 _parser.py:512(_parse)
      175    0.005    0.000    0.193    0.001 enum.py:862(_create_)
        1    0.000    0.000    0.191    0.191 signature_bootstrap.py:40(bootstrap)
     13/3    0.000    0.000    0.188    0.063 signature_bootstrap.py:190(exec_module)
        2    0.000    0.000    0.187    0.094 loader.py:1(<module>)
        1    0.000    0.000    0.185    0.185 patches.py:1(<module>)
        1    0.000    0.000    0.172    0.172 rcsetup.py:1(<module>)
        2    0.000    0.000    0.169    0.084 quiver.py:581(draw)
      398    0.005    0.000    0.158    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.144    0.144 axes3d.py:1(<module>)
      382    0.001    0.000    0.144    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
        1    0.000    0.000    0.143    0.143 _base.py:1(<module>)
      382    0.002    0.000    0.143    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
       12    0.001    0.000    0.138    0.011 axis.py:1276(_update_ticks)
      646    0.008    0.000    0.137    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
221322/218678    0.130    0.000    0.133    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.133    0.133 widgets.py:1(<module>)
      227    0.047    0.000    0.131    0.001 artist.py:1511(get_setters)
        1    0.000    0.000    0.131    0.131 collections.py:1(<module>)
        4    0.005    0.001    0.129    0.032 collections.py:1206(set_verts)
