run_Cython_1.py: Size: 50, Steps: 20, T*: 0.500: Order: 0.233, Time: 0.262722 s
         1694783 function calls (1663641 primitive calls) in 3.601 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     39/2    0.001    0.000    3.097    1.548 text.py:926(get_window_extent)
     63/2    0.013    0.000    3.096    1.548 text.py:358(_get_layout)
       43    0.002    0.000    2.980    0.069 __init__.py:1(<module>)
    403/4    0.003    0.000    2.502    0.625 <frozen importlib._bootstrap>:1349(_find_and_load)
    400/4    0.003    0.000    2.502    0.625 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    384/4    0.002    0.000    2.498    0.625 <frozen importlib._bootstrap>:911(_load_unlocked)
    922/9    0.002    0.000    2.496    0.277 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    317/7    0.001    0.000    2.490    0.356 <frozen importlib._bootstrap_external>:993(exec_module)
    49/11    0.000    0.000    2.250    0.205 <frozen importlib._bootstrap_external>:1299(exec_module)
    49/11    0.030    0.001    2.250    0.205 {built-in method _imp.exec_dynamic}
   432/21    0.001    0.000    2.184    0.104 {built-in method builtins.__import__}
   406/84    0.002    0.000    2.012    0.024 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    1.281    1.281 pyplot.py:1(<module>)
1233/1143    0.017    0.000    1.114    0.001 {built-in method builtins.__build_class__}
      106    0.005    0.000    0.793    0.007 artist.py:158(_update_set_signature_and_docstring)
      105    0.001    0.000    0.780    0.007 artist.py:125(__init_subclass__)
        2    0.000    0.000    0.773    0.387 pyplot.py:1621(subplots)
        2    0.000    0.000    0.717    0.359 pyplot.py:871(figure)
        2    0.000    0.000    0.717    0.358 pyplot.py:548(new_figure_manager)
        1    0.000    0.000    0.674    0.674 figure.py:1(<module>)
      120    0.001    0.000    0.628    0.005 artist.py:1832(kwdoc)
      120    0.010    0.000    0.530    0.004 artist.py:1593(pprint_setters)
        9    0.000    0.000    0.514    0.057 __init__.py:73(import_module)
        9    0.000    0.000    0.514    0.057 <frozen importlib._bootstrap>:1375(_gcd_import)
        4    0.000    0.000    0.500    0.125 pyplot.py:525(_warn_if_gui_out_of_main_thread)
       10    0.000    0.000    0.500    0.050 pyplot.py:358(_get_backend_mod)
      3/1    0.000    0.000    0.500    0.500 pyplot.py:372(switch_backend)
        2    0.000    0.000    0.494    0.247 registry.py:302(load_backend_module)
        1    0.000    0.000    0.494    0.494 image.py:1(<module>)
        1    0.000    0.000    0.493    0.493 backend_qtagg.py:1(<module>)
